County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,979	11,930	18.96%	62,909
ALACHUA	1,631	162	9.04%	1,793
BAKER	488	137	21.92%	625
BAY	476	90	15.90%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,284	369	22.32%	1,653
BROWARD	4,635	896	16.20%	5,531
CALHOUN	8	2	20.00%	10
CHARLOTTE	452	156	25.66%	608
CITRUS	249	58	18.89%	307
CLAY	491	70	12.48%	561
COLLIER	805	105	11.54%	910
COLUMBIA	104	0	0.00%	104
DESOTO	36	22	37.93%	58
DUVAL	3,018	756	20.03%	3,774
ESCAMBIA	1,146	337	22.72%	1,483
FLAGLER	97	3	3.00%	100
FRANKLIN	2	13	86.67%	15
GADSDEN	643	310	32.53%	953
GULF	15	6	28.57%	21
HARDEE	25	0	0.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	591	155	20.78%	746
HIGHLANDS	262	22	7.75%	284
HILLSBOROUGH	3,511	651	15.64%	4,162
HOLMES	15	5	25.00%	20
INDIAN RIVER	376	99	20.84%	475
JACKSON	56	37	39.78%	93
LAKE	782	180	18.71%	962
LEE	1,640	255	13.46%	1,895
LEON	782	89	10.22%	871
MADISON	10	5	33.33%	15
MANATEE	704	82	10.43%	786
MARION	926	69	6.93%	995
MARTIN	297	150	33.56%	447
MIAMI-DADE	6,899	2,008	22.54%	8,907
MONROE	66	96	59.26%	162
NASSAU	46	22	32.35%	68
OKALOOSA	387	76	16.41%	463
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,627	1,026	22.05%	4,653
OSCEOLA	977	182	15.70%	1,159
PALM BEACH	3,150	949	23.15%	4,099
PASCO	1,254	201	13.81%	1,455
PINELLAS	2,576	617	19.32%	3,193
POLK	1,541	229	12.94%	1,770
PUTNAM	71	13	15.48%	84
SANTA ROSA	151	120	44.28%	271
SARASOTA	1,214	108	8.17%	1,322
SEMINOLE	799	165	17.12%	964
ST. JOHNS	201	132	39.64%	333
ST. LUCIE	774	98	11.24%	872
SUMTER	262	85	24.50%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	49	26	34.67%	75
VOLUSIA	1,174	366	23.77%	1,540
WALTON	85	29	25.44%	114
WASHINGTON	41	18	30.51%	59
