County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,641	14,646	24.29%	60,287
ALACHUA	1,413	293	17.17%	1,706
BAKER	123	502	80.32%	625
BAY	432	125	22.44%	557
BRADFORD	5	5	50.00%	10
BREVARD	1,127	491	30.35%	1,618
BROWARD	4,313	1,021	19.14%	5,334
CALHOUN	5	5	50.00%	10
CHARLOTTE	462	238	34.00%	700
CITRUS	197	98	33.22%	295
CLAY	463	91	16.43%	554
COLLIER	688	178	20.55%	866
COLUMBIA	125	10	7.41%	135
DESOTO	26	29	52.73%	55
DUVAL	2,930	1,083	26.99%	4,013
ESCAMBIA	1,036	385	27.09%	1,421
FLAGLER	91	8	8.08%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	7	14	66.67%	21
HARDEE	24	1	4.00%	25
HENDRY	16	13	44.83%	29
HERNANDO	526	204	27.95%	730
HIGHLANDS	180	80	30.77%	260
HILLSBOROUGH	3,158	699	18.12%	3,857
HOLMES	10	10	50.00%	20
INDIAN RIVER	311	144	31.65%	455
JACKSON	39	65	62.50%	104
LAKE	662	245	27.01%	907
LEE	1,449	311	17.67%	1,760
LEON	721	135	15.77%	856
MADISON	6	9	60.00%	15
MANATEE	670	102	13.21%	772
MARION	810	122	13.09%	932
MARTIN	245	245	50.00%	490
MIAMI-DADE	6,901	1,659	19.38%	8,560
MONROE	91	23	20.18%	114
NASSAU	31	55	63.95%	86
OKALOOSA	343	108	23.95%	451
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,262	1,145	25.98%	4,407
OSCEOLA	846	305	26.50%	1,151
PALM BEACH	2,850	1,407	33.05%	4,257
PASCO	1,085	298	21.55%	1,383
PINELLAS	2,390	516	17.76%	2,906
POLK	1,290	337	20.71%	1,627
PUTNAM	65	19	22.62%	84
SANTA ROSA	145	194	57.23%	339
SARASOTA	961	242	20.12%	1,203
SEMINOLE	708	212	23.04%	920
ST. JOHNS	194	136	41.21%	330
ST. LUCIE	748	144	16.14%	892
SUMTER	220	127	36.60%	347
SUWANNEE	0	0		0
TAYLOR	3	8	72.73%	11
UNION	53	72	57.60%	125
VOLUSIA	1,022	550	34.99%	1,572
WALTON	68	49	41.88%	117
WASHINGTON	46	13	22.03%	59
