County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,847	12,670	20.27%	62,517
ALACHUA	1,561	231	12.89%	1,792
BAKER	493	132	21.12%	625
BAY	480	81	14.44%	561
BRADFORD	5	5	50.00%	10
BREVARD	1,266	380	23.09%	1,646
BROWARD	4,341	988	18.54%	5,329
CALHOUN	5	5	50.00%	10
CHARLOTTE	425	176	29.28%	601
CITRUS	236	68	22.37%	304
CLAY	484	84	14.79%	568
COLLIER	806	111	12.10%	917
COLUMBIA	107	0	0.00%	107
DESOTO	34	24	41.38%	58
DUVAL	2,940	811	21.62%	3,751
ESCAMBIA	1,170	303	20.57%	1,473
FLAGLER	91	8	8.08%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	623	330	34.63%	953
GULF	8	13	61.90%	21
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	606	183	23.19%	789
HIGHLANDS	255	22	7.94%	277
HILLSBOROUGH	3,489	743	17.56%	4,232
HOLMES	20	0	0.00%	20
INDIAN RIVER	346	125	26.54%	471
JACKSON	60	37	38.14%	97
LAKE	781	153	16.38%	934
LEE	1,586	255	13.85%	1,841
LEON	794	86	9.77%	880
MADISON	9	6	40.00%	15
MANATEE	684	124	15.35%	808
MARION	891	94	9.54%	985
MARTIN	303	125	29.21%	428
MIAMI-DADE	6,744	1,972	22.63%	8,716
MONROE	75	94	55.62%	169
NASSAU	44	24	35.29%	68
OKALOOSA	399	65	14.01%	464
OKEECHOBEE	68	32	32.00%	100
ORANGE	3,378	1,220	26.53%	4,598
OSCEOLA	1,254	256	16.95%	1,510
PALM BEACH	3,048	968	24.10%	4,016
PASCO	1,202	242	16.76%	1,444
PINELLAS	2,457	703	22.25%	3,160
POLK	1,428	304	17.55%	1,732
PUTNAM	68	16	19.05%	84
SANTA ROSA	151	122	44.69%	273
SARASOTA	1,161	96	7.64%	1,257
SEMINOLE	801	160	16.65%	961
ST. JOHNS	243	88	26.59%	331
ST. LUCIE	788	92	10.45%	880
SUMTER	251	96	27.67%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	50	25	33.33%	75
VOLUSIA	1,185	288	19.55%	1,473
WALTON	68	46	40.35%	114
WASHINGTON	43	19	30.65%	62
