County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,661	1,342	22.36%	6,003	405	221	35.30%	626
ALACHUA	285	23	7.47%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	47	3	6.00%	50	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	125	40	24.24%	165	0	0		0
BROWARD	326	119	26.74%	445	32	25	43.86%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	6	12.24%	49	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	44	6	12.00%	50	4	0	0.00%	4
COLLIER	55	29	34.52%	84	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	1	7	87.50%	8	0	0		0
DUVAL	330	104	23.96%	434	24	16	40.00%	40
ESCAMBIA	131	10	7.09%	141	9	7	43.75%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	53	9	14.52%	62	0	0		0
HIGHLANDS	26	7	21.21%	33	0	0		0
HILLSBOROUGH	327	45	12.10%	372	18	23	56.10%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	25	6	19.35%	31	0	0		0
JACKSON	4	4	50.00%	8	0	0		0
LAKE	73	31	29.81%	104	0	0		0
LEE	116	24	17.14%	140	61	25	29.07%	86
LEON	56	16	22.22%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	57	14	19.72%	71	0	0		0
MARION	82	3	3.53%	85	0	0		0
MARTIN	12	28	70.00%	40	0	0		0
MIAMI-DADE	737	208	22.01%	945	81	47	36.72%	128
MONROE	9	4	30.77%	13	0	0		0
NASSAU	4	4	50.00%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	274	130	32.18%	404	89	23	20.54%	112
OSCEOLA	92	31	25.20%	123	0	6	100.00%	6
PALM BEACH	280	137	32.85%	417	15	17	53.13%	32
PASCO	119	12	9.16%	131	0	0		0
PINELLAS	234	57	19.59%	291	25	8	24.24%	33
POLK	128	16	11.11%	144	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	10	12	54.55%	22	0	0		0
SARASOTA	68	40	37.04%	108	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	86	6	6.52%	92	2	4	66.67%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	150	77	33.92%	227	0	5	100.00%	5
WALTON	7	16	69.57%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
