County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,754	1,241	20.70%	5,995	375	246	39.61%	621
ALACHUA	279	29	9.42%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	46	8	14.81%	54	4	0	0.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	142	36	20.22%	178	0	0		0
BROWARD	373	112	23.09%	485	25	34	57.63%	59
CALHOUN	0	0		0	0	0		0
CHARLOTTE	38	10	20.83%	48	0	0		0
CITRUS	31	9	22.50%	40	0	0		0
CLAY	40	10	20.00%	50	0	4	100.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	12	2	14.29%	14	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	323	124	27.74%	447	24	16	40.00%	40
ESCAMBIA	127	14	9.93%	141	6	10	62.50%	16
FLAGLER	17	1	5.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	37	25	40.32%	62	0	0		0
HIGHLANDS	19	11	36.67%	30	0	0		0
HILLSBOROUGH	321	46	12.53%	367	24	15	38.46%	39
HOLMES	0	0		0	0	0		0
INDIAN RIVER	12	19	61.29%	31	0	0		0
JACKSON	8	0	0.00%	8	0	0		0
LAKE	79	25	24.04%	104	0	0		0
LEE	123	16	11.51%	139	56	30	34.88%	86
LEON	65	7	9.72%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	43	15	25.86%	58	0	0		0
MARION	90	4	4.26%	94	0	0		0
MARTIN	18	21	53.85%	39	0	0		0
MIAMI-DADE	791	145	15.49%	936	68	43	38.74%	111
MONROE	9	0	0.00%	9	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	259	113	30.38%	372	71	41	36.61%	112
OSCEOLA	76	47	38.21%	123	0	6	100.00%	6
PALM BEACH	282	119	29.68%	401	18	14	43.75%	32
PASCO	110	19	14.73%	129	0	0		0
PINELLAS	254	38	13.01%	292	39	6	13.33%	45
POLK	128	17	11.72%	145	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	10	13	56.52%	23	0	0		0
SARASOTA	65	44	40.37%	109	0	0		0
SEMINOLE	63	9	12.50%	72	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	84	6	6.67%	90	4	2	33.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	170	53	23.77%	223	0	5	100.00%	5
WALTON	18	5	21.74%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
