County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,213	1,050	16.77%	6,263	435	241	35.65%	676
ALACHUA	270	38	12.34%	308	44	3	6.38%	47
BAKER	0	0		0	0	0		0
BAY	51	13	20.31%	64	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	138	48	25.81%	186	0	0		0
BROWARD	404	84	17.21%	488	45	37	45.12%	82
CALHOUN	0	0		0	0	0		0
CHARLOTTE	48	4	7.69%	52	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	39	11	22.00%	50	1	3	75.00%	4
COLLIER	73	12	14.12%	85	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	349	88	20.14%	437	22	6	21.43%	28
ESCAMBIA	138	3	2.13%	141	3	13	81.25%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	51	12	19.05%	63	0	0		0
HIGHLANDS	26	5	16.13%	31	0	0		0
HILLSBOROUGH	446	45	9.16%	491	27	15	35.71%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	22	12	35.29%	34	0	0		0
JACKSON	6	1	14.29%	7	0	0		0
LAKE	79	25	24.04%	104	0	0		0
LEE	128	12	8.57%	140	68	18	20.93%	86
LEON	70	2	2.78%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	61	13	17.57%	74	0	0		0
MARION	86	13	13.13%	99	0	0		0
MARTIN	12	9	42.86%	21	0	0		0
MIAMI-DADE	804	140	14.83%	944	70	63	47.37%	133
MONROE	10	3	23.08%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	55	2	3.51%	57	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	313	85	21.36%	398	82	44	34.92%	126
OSCEOLA	95	34	26.36%	129	0	0		0
PALM BEACH	290	114	28.22%	404	13	19	59.38%	32
PASCO	125	11	8.09%	136	0	0		0
PINELLAS	284	47	14.20%	331	43	4	8.51%	47
POLK	142	49	25.65%	191	13	1	7.14%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	13	10	43.48%	23	0	0		0
SARASOTA	92	21	18.58%	113	0	0		0
SEMINOLE	70	3	4.11%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	3	3	50.00%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	171	26	13.20%	197	0	0		0
WALTON	18	4	18.18%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
