County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,023	12,547	20.71%	60,570
ALACHUA	1,362	287	17.40%	1,649
BAKER	510	115	18.40%	625
BAY	430	119	21.68%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,174	465	28.37%	1,639
BROWARD	4,471	932	17.25%	5,403
CALHOUN	7	3	30.00%	10
CHARLOTTE	482	219	31.24%	701
CITRUS	259	75	22.46%	334
CLAY	470	78	14.23%	548
COLLIER	752	156	17.18%	908
COLUMBIA	114	16	12.31%	130
DESOTO	25	30	54.55%	55
DUVAL	3,131	832	20.99%	3,963
ESCAMBIA	1,027	376	26.80%	1,403
FLAGLER	95	4	4.04%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	553	195	26.07%	748
HIGHLANDS	225	55	19.64%	280
HILLSBOROUGH	3,334	644	16.19%	3,978
HOLMES	12	8	40.00%	20
INDIAN RIVER	330	155	31.96%	485
JACKSON	72	19	20.88%	91
LAKE	752	172	18.61%	924
LEE	1,494	261	14.87%	1,755
LEON	768	129	14.38%	897
MADISON	8	7	46.67%	15
MANATEE	658	93	12.38%	751
MARION	795	91	10.27%	886
MARTIN	272	216	44.26%	488
MIAMI-DADE	6,846	1,606	19.00%	8,452
MONROE	96	26	21.31%	122
NASSAU	54	19	26.03%	73
OKALOOSA	382	77	16.78%	459
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,416	933	21.45%	4,349
OSCEOLA	854	312	26.76%	1,166
PALM BEACH	3,082	1,118	26.62%	4,200
PASCO	1,194	203	14.53%	1,397
PINELLAS	2,419	575	19.21%	2,994
POLK	1,413	236	14.31%	1,649
PUTNAM	66	18	21.43%	84
SANTA ROSA	157	191	54.89%	348
SARASOTA	1,088	206	15.92%	1,294
SEMINOLE	823	154	15.76%	977
ST. JOHNS	197	135	40.66%	332
ST. LUCIE	789	107	11.94%	896
SUMTER	226	121	34.87%	347
SUWANNEE	0	0		0
TAYLOR	9	7	43.75%	16
UNION	54	75	58.14%	129
VOLUSIA	1,053	523	33.19%	1,576
WALTON	73	44	37.61%	117
WASHINGTON	45	14	23.73%	59
