County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,621	11,985	19.45%	61,606
ALACHUA	1,515	219	12.63%	1,734
BAKER	513	112	17.92%	625
BAY	474	99	17.28%	573
BRADFORD	5	5	50.00%	10
BREVARD	1,220	412	25.25%	1,632
BROWARD	4,494	842	15.78%	5,336
CALHOUN	9	1	10.00%	10
CHARLOTTE	479	149	23.73%	628
CITRUS	242	64	20.92%	306
CLAY	496	77	13.44%	573
COLLIER	787	116	12.85%	903
COLUMBIA	101	0	0.00%	101
DESOTO	36	22	37.93%	58
DUVAL	2,948	653	18.13%	3,601
ESCAMBIA	1,110	346	23.76%	1,456
FLAGLER	90	9	9.09%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	569	384	40.29%	953
GULF	9	12	57.14%	21
HARDEE	26	0	0.00%	26
HENDRY	15	14	48.28%	29
HERNANDO	558	184	24.80%	742
HIGHLANDS	230	34	12.88%	264
HILLSBOROUGH	3,527	598	14.50%	4,125
HOLMES	11	9	45.00%	20
INDIAN RIVER	329	121	26.89%	450
JACKSON	43	50	53.76%	93
LAKE	774	173	18.27%	947
LEE	1,621	200	10.98%	1,821
LEON	782	91	10.42%	873
MADISON	13	2	13.33%	15
MANATEE	735	51	6.49%	786
MARION	857	93	9.79%	950
MARTIN	292	136	31.78%	428
MIAMI-DADE	6,874	1,724	20.05%	8,598
MONROE	75	94	55.62%	169
NASSAU	38	30	44.12%	68
OKALOOSA	386	66	14.60%	452
OKEECHOBEE	49	51	51.00%	100
ORANGE	3,505	985	21.94%	4,490
OSCEOLA	920	248	21.23%	1,168
PALM BEACH	3,060	936	23.42%	3,996
PASCO	1,182	240	16.88%	1,422
PINELLAS	2,428	872	26.42%	3,300
POLK	1,464	268	15.47%	1,732
PUTNAM	71	13	15.48%	84
SANTA ROSA	125	126	50.20%	251
SARASOTA	1,180	111	8.60%	1,291
SEMINOLE	758	186	19.70%	944
ST. JOHNS	216	116	34.94%	332
ST. LUCIE	759	105	12.15%	864
SUMTER	286	61	17.58%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	53	22	29.33%	75
VOLUSIA	1,171	363	23.66%	1,534
WALTON	67	48	41.74%	115
WASHINGTON	40	19	32.20%	59
