County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,007	14,962	24.54%	60,969
ALACHUA	1,466	257	14.92%	1,723
BAKER	487	138	22.08%	625
BAY	438	106	19.49%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,174	437	27.13%	1,611
BROWARD	4,150	1,070	20.50%	5,220
CALHOUN	4	6	60.00%	10
CHARLOTTE	480	133	21.70%	613
CITRUS	228	81	26.21%	309
CLAY	446	109	19.64%	555
COLLIER	681	148	17.85%	829
COLUMBIA	95	0	0.00%	95
DESOTO	19	36	65.45%	55
DUVAL	2,781	841	23.22%	3,622
ESCAMBIA	1,097	359	24.66%	1,456
FLAGLER	86	13	13.13%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	628	325	34.10%	953
GULF	7	14	66.67%	21
HARDEE	22	3	12.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	513	218	29.82%	731
HIGHLANDS	208	48	18.75%	256
HILLSBOROUGH	3,250	582	15.19%	3,832
HOLMES	15	5	25.00%	20
INDIAN RIVER	324	138	29.87%	462
JACKSON	47	43	47.78%	90
LAKE	661	234	26.15%	895
LEE	1,461	361	19.81%	1,822
LEON	708	155	17.96%	863
MADISON	4	11	73.33%	15
MANATEE	722	78	9.75%	800
MARION	783	126	13.86%	909
MARTIN	249	263	51.37%	512
MIAMI-DADE	6,258	2,400	27.72%	8,658
MONROE	80	102	56.04%	182
NASSAU	32	36	52.94%	68
OKALOOSA	353	98	21.73%	451
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,311	1,111	25.12%	4,422
OSCEOLA	883	291	24.79%	1,174
PALM BEACH	2,659	1,368	33.97%	4,027
PASCO	1,107	249	18.36%	1,356
PINELLAS	2,336	818	25.94%	3,154
POLK	1,330	354	21.02%	1,684
PUTNAM	64	20	23.81%	84
SANTA ROSA	114	233	67.15%	347
SARASOTA	1,010	224	18.15%	1,234
SEMINOLE	726	200	21.60%	926
ST. JOHNS	191	140	42.30%	331
ST. LUCIE	753	151	16.70%	904
SUMTER	266	81	23.34%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	64	26	28.89%	90
VOLUSIA	1,059	557	34.47%	1,616
WALTON	57	60	51.28%	117
WASHINGTON	42	17	28.81%	59
