County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,963	1,160	18.94%	6,123	365	218	37.39%	583
ALACHUA	257	51	16.56%	308	26	21	44.68%	47
BAKER	0	0		0	0	0		0
BAY	70	3	4.11%	73	2	2	50.00%	4
BREVARD	127	42	24.85%	169	0	0		0
BROWARD	436	68	13.49%	504	31	23	42.59%	54
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	7	13.46%	52	0	0		0
CITRUS	29	11	27.50%	40	0	0		0
CLAY	39	3	7.14%	42	3	3	50.00%	6
COLLIER	59	22	27.16%	81	0	0		0
COLUMBIA	11	3	21.43%	14	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	326	106	24.54%	432	22	18	45.00%	40
ESCAMBIA	114	4	3.39%	118	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	47	9	16.07%	56	0	0		0
HIGHLANDS	24	4	14.29%	28	0	0		0
HILLSBOROUGH	331	45	11.97%	376	23	18	43.90%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	9	30.00%	30	0	0		0
JACKSON	5	5	50.00%	10	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	121	19	13.57%	140	63	23	26.74%	86
LEON	64	8	11.11%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	52	7	11.86%	59	0	0		0
MARION	73	14	16.09%	87	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	836	149	15.13%	985	65	16	19.75%	81
MONROE	5	5	50.00%	10	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	45	9	16.67%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	277	92	24.93%	369	70	42	37.50%	112
OSCEOLA	93	35	27.34%	128	0	6	100.00%	6
PALM BEACH	309	116	27.29%	425	12	20	62.50%	32
PASCO	119	9	7.03%	128	0	0		0
PINELLAS	268	26	8.84%	294	34	4	10.53%	38
POLK	156	12	7.14%	168	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	9	11	55.00%	20	0	0		0
SARASOTA	84	28	25.00%	112	0	0		0
SEMINOLE	64	9	12.33%	73	0	0		0
ST. JOHNS	28	18	39.13%	46	0	0		0
ST. LUCIE	82	8	8.89%	90	6	0	0.00%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	163	109	40.07%	272	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
