County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,270	12,180	19.50%	62,450
ALACHUA	1,558	194	11.07%	1,752
BAKER	478	147	23.52%	625
BAY	495	74	13.01%	569
BRADFORD	5	5	50.00%	10
BREVARD	1,311	359	21.50%	1,670
BROWARD	4,475	904	16.81%	5,379
CALHOUN	1	9	90.00%	10
CHARLOTTE	453	152	25.12%	605
CITRUS	235	69	22.70%	304
CLAY	510	49	8.77%	559
COLLIER	833	104	11.10%	937
COLUMBIA	102	0	0.00%	102
DESOTO	22	36	62.07%	58
DUVAL	3,007	797	20.95%	3,804
ESCAMBIA	1,147	325	22.08%	1,472
FLAGLER	97	2	2.02%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	680	273	28.65%	953
GULF	10	11	52.38%	21
HARDEE	25	1	3.85%	26
HENDRY	6	23	79.31%	29
HERNANDO	580	151	20.66%	731
HIGHLANDS	253	16	5.95%	269
HILLSBOROUGH	3,484	728	17.28%	4,212
HOLMES	9	11	55.00%	20
INDIAN RIVER	408	73	15.18%	481
JACKSON	54	40	42.55%	94
LAKE	805	133	14.18%	938
LEE	1,608	235	12.75%	1,843
LEON	762	117	13.31%	879
MADISON	13	1	7.14%	14
MANATEE	696	84	10.77%	780
MARION	937	70	6.95%	1,007
MARTIN	288	143	33.18%	431
MIAMI-DADE	6,826	1,949	22.21%	8,775
MONROE	79	90	53.25%	169
NASSAU	53	15	22.06%	68
OKALOOSA	392	74	15.88%	466
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,576	1,012	22.06%	4,588
OSCEOLA	942	218	18.79%	1,160
PALM BEACH	3,091	963	23.75%	4,054
PASCO	1,235	215	14.83%	1,450
PINELLAS	2,427	789	24.53%	3,216
POLK	1,511	304	16.75%	1,815
PUTNAM	73	11	13.10%	84
SANTA ROSA	125	133	51.55%	258
SARASOTA	1,125	151	11.83%	1,276
SEMINOLE	796	158	16.56%	954
ST. JOHNS	239	93	28.01%	332
ST. LUCIE	795	81	9.25%	876
SUMTER	260	87	25.07%	347
SUWANNEE	0	0		0
TAYLOR	8	4	33.33%	12
UNION	53	17	24.29%	70
VOLUSIA	1,147	362	23.99%	1,509
WALTON	80	34	29.82%	114
WASHINGTON	44	15	25.42%	59
