County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	51,015	11,829	18.82%	62,844
ALACHUA	1,596	187	10.49%	1,783
BAKER	486	139	22.24%	625
BAY	473	92	16.28%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,283	364	22.10%	1,647
BROWARD	4,508	948	17.38%	5,456
CALHOUN	6	4	40.00%	10
CHARLOTTE	467	141	23.19%	608
CITRUS	257	56	17.89%	313
CLAY	482	79	14.08%	561
COLLIER	798	106	11.73%	904
COLUMBIA	109	0	0.00%	109
DESOTO	34	24	41.38%	58
DUVAL	2,990	673	18.37%	3,663
ESCAMBIA	1,148	315	21.53%	1,463
FLAGLER	96	3	3.03%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	644	309	32.42%	953
GULF	12	9	42.86%	21
HARDEE	25	0	0.00%	25
HENDRY	16	13	44.83%	29
HERNANDO	591	154	20.67%	745
HIGHLANDS	256	11	4.12%	267
HILLSBOROUGH	3,498	620	15.06%	4,118
HOLMES	15	5	25.00%	20
INDIAN RIVER	380	94	19.83%	474
JACKSON	57	35	38.04%	92
LAKE	785	161	17.02%	946
LEE	1,843	205	10.01%	2,048
LEON	784	91	10.40%	875
MADISON	10	5	33.33%	15
MANATEE	689	104	13.11%	793
MARION	932	69	6.89%	1,001
MARTIN	301	147	32.81%	448
MIAMI-DADE	6,919	1,969	22.15%	8,888
MONROE	74	95	56.21%	169
NASSAU	43	25	36.76%	68
OKALOOSA	410	70	14.58%	480
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,641	1,024	21.95%	4,665
OSCEOLA	983	178	15.33%	1,161
PALM BEACH	3,110	1,020	24.70%	4,130
PASCO	1,218	244	16.69%	1,462
PINELLAS	2,612	633	19.51%	3,245
POLK	1,521	244	13.82%	1,765
PUTNAM	67	17	20.24%	84
SANTA ROSA	148	121	44.98%	269
SARASOTA	1,236	85	6.43%	1,321
SEMINOLE	822	125	13.20%	947
ST. JOHNS	200	133	39.94%	333
ST. LUCIE	768	101	11.62%	869
SUMTER	277	70	20.17%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	50	25	33.33%	75
VOLUSIA	1,164	358	23.52%	1,522
WALTON	72	42	36.84%	114
WASHINGTON	43	16	27.12%	59
