County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,853	16,533	27.38%	60,386
ALACHUA	1,415	287	16.86%	1,702
BAKER	476	149	23.84%	625
BAY	444	99	18.23%	543
BRADFORD	5	5	50.00%	10
BREVARD	1,176	388	24.81%	1,564
BROWARD	3,973	1,152	22.48%	5,125
CALHOUN	4	6	60.00%	10
CHARLOTTE	379	228	37.56%	607
CITRUS	199	93	31.85%	292
CLAY	434	99	18.57%	533
COLLIER	655	187	22.21%	842
COLUMBIA	107	6	5.31%	113
DESOTO	15	40	72.73%	55
DUVAL	2,655	1,089	29.09%	3,744
ESCAMBIA	984	495	33.47%	1,479
FLAGLER	77	22	22.22%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	754	199	20.88%	953
GULF	4	18	81.82%	22
HARDEE	22	3	12.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	477	281	37.07%	758
HIGHLANDS	182	75	29.18%	257
HILLSBOROUGH	3,008	765	20.28%	3,773
HOLMES	9	13	59.09%	22
INDIAN RIVER	260	183	41.31%	443
JACKSON	42	50	54.35%	92
LAKE	726	170	18.97%	896
LEE	1,366	483	26.12%	1,849
LEON	712	145	16.92%	857
MADISON	9	6	40.00%	15
MANATEE	610	135	18.12%	745
MARION	786	115	12.76%	901
MARTIN	228	262	53.47%	490
MIAMI-DADE	6,016	2,543	29.71%	8,559
MONROE	108	23	17.56%	131
NASSAU	35	33	48.53%	68
OKALOOSA	332	120	26.55%	452
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,277	1,131	25.66%	4,408
OSCEOLA	808	330	29.00%	1,138
PALM BEACH	2,593	1,386	34.83%	3,979
PASCO	1,077	335	23.73%	1,412
PINELLAS	2,113	1,018	32.51%	3,131
POLK	1,212	400	24.81%	1,612
PUTNAM	52	32	38.10%	84
SANTA ROSA	132	217	62.18%	349
SARASOTA	892	228	20.36%	1,120
SEMINOLE	671	246	26.83%	917
ST. JOHNS	170	160	48.48%	330
ST. LUCIE	638	235	26.92%	873
SUMTER	241	106	30.55%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	62	41	39.81%	103
VOLUSIA	1,061	539	33.69%	1,600
WALTON	57	60	51.28%	117
WASHINGTON	48	11	18.64%	59
