County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,657	1,395	23.05%	6,052	441	221	33.38%	662
ALACHUA	268	40	12.99%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	59	4	6.35%	63	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	140	28	16.67%	168	0	0		0
BROWARD	350	96	21.52%	446	49	26	34.67%	75
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	40	10	20.00%	50	3	1	25.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	331	106	24.26%	437	25	15	37.50%	40
ESCAMBIA	111	30	21.28%	141	7	9	56.25%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	48	14	22.58%	62	0	0		0
HIGHLANDS	18	11	37.93%	29	0	0		0
HILLSBOROUGH	330	48	12.70%	378	30	9	23.08%	39
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	11	36.67%	30	0	0		0
JACKSON	6	3	33.33%	9	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	107	32	23.02%	139	68	18	20.93%	86
LEON	62	10	13.89%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	49	17	25.76%	66	0	0		0
MARION	78	5	6.02%	83	0	0		0
MARTIN	19	6	24.00%	25	0	0		0
MIAMI-DADE	728	214	22.72%	942	75	44	36.97%	119
MONROE	9	4	30.77%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	285	119	29.46%	404	82	44	34.92%	126
OSCEOLA	89	39	30.47%	128	0	0		0
PALM BEACH	252	145	36.52%	397	16	16	50.00%	32
PASCO	119	22	15.60%	141	0	0		0
PINELLAS	242	63	20.66%	305	35	5	12.50%	40
POLK	129	51	28.33%	180	9	5	35.71%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	11	11	50.00%	22	0	0		0
SARASOTA	67	44	39.64%	111	0	0		0
SEMINOLE	61	12	16.44%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	73	17	18.89%	90	2	4	66.67%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	173	56	24.45%	229	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
