County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,885	15,548	26.16%	59,433
ALACHUA	1,390	308	18.14%	1,698
BAKER	129	496	79.36%	625
BAY	418	131	23.86%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,030	583	36.14%	1,613
BROWARD	4,336	1,007	18.85%	5,343
CALHOUN	5	5	50.00%	10
CHARLOTTE	431	268	38.34%	699
CITRUS	199	84	29.68%	283
CLAY	454	94	17.15%	548
COLLIER	688	197	22.26%	885
COLUMBIA	99	21	17.50%	120
DESOTO	30	25	45.45%	55
DUVAL	2,598	1,125	30.22%	3,723
ESCAMBIA	1,005	468	31.77%	1,473
FLAGLER	86	13	13.13%	99
FRANKLIN	3	11	78.57%	14
GADSDEN	0	0		0
GULF	10	11	52.38%	21
HARDEE	22	3	12.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	482	240	33.24%	722
HIGHLANDS	203	65	24.25%	268
HILLSBOROUGH	3,067	679	18.13%	3,746
HOLMES	6	14	70.00%	20
INDIAN RIVER	293	162	35.60%	455
JACKSON	43	62	59.05%	105
LAKE	613	277	31.12%	890
LEE	1,374	417	23.28%	1,791
LEON	698	158	18.46%	856
MADISON	7	8	53.33%	15
MANATEE	634	117	15.58%	751
MARION	727	156	17.67%	883
MARTIN	221	263	54.34%	484
MIAMI-DADE	6,618	1,751	20.92%	8,369
MONROE	85	12	12.37%	97
NASSAU	27	41	60.29%	68
OKALOOSA	360	92	20.35%	452
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,310	1,058	24.22%	4,368
OSCEOLA	848	308	26.64%	1,156
PALM BEACH	2,682	1,466	35.34%	4,148
PASCO	1,022	353	25.67%	1,375
PINELLAS	2,259	642	22.13%	2,901
POLK	1,266	400	24.01%	1,666
PUTNAM	46	38	45.24%	84
SANTA ROSA	153	199	56.53%	352
SARASOTA	964	186	16.17%	1,150
SEMINOLE	667	277	29.34%	944
ST. JOHNS	166	168	50.30%	334
ST. LUCIE	683	191	21.85%	874
SUMTER	216	131	37.75%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	53	72	57.60%	125
VOLUSIA	992	534	34.99%	1,526
WALTON	51	67	56.78%	118
WASHINGTON	46	13	22.03%	59
