County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,339	12,890	20.71%	62,229
ALACHUA	1,547	234	13.14%	1,781
BAKER	480	145	23.20%	625
BAY	480	85	15.04%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,242	411	24.86%	1,653
BROWARD	4,360	996	18.60%	5,356
CALHOUN	0	10	100.00%	10
CHARLOTTE	460	141	23.46%	601
CITRUS	231	71	23.51%	302
CLAY	495	69	12.23%	564
COLLIER	822	101	10.94%	923
COLUMBIA	88	3	3.30%	91
DESOTO	28	30	51.72%	58
DUVAL	2,904	858	22.81%	3,762
ESCAMBIA	1,077	370	25.57%	1,447
FLAGLER	94	5	5.05%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	660	293	30.75%	953
GULF	10	11	52.38%	21
HARDEE	25	0	0.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	618	134	17.82%	752
HIGHLANDS	237	28	10.57%	265
HILLSBOROUGH	3,347	774	18.78%	4,121
HOLMES	13	7	35.00%	20
INDIAN RIVER	380	89	18.98%	469
JACKSON	46	46	50.00%	92
LAKE	743	181	19.59%	924
LEE	1,614	224	12.19%	1,838
LEON	785	94	10.69%	879
MADISON	12	3	20.00%	15
MANATEE	672	101	13.07%	773
MARION	890	89	9.09%	979
MARTIN	264	181	40.67%	445
MIAMI-DADE	6,742	2,066	23.46%	8,808
MONROE	72	104	59.09%	176
NASSAU	46	22	32.35%	68
OKALOOSA	387	75	16.23%	462
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,511	1,082	23.56%	4,593
OSCEOLA	931	201	17.76%	1,132
PALM BEACH	3,072	974	24.07%	4,046
PASCO	1,188	266	18.29%	1,454
PINELLAS	2,522	633	20.06%	3,155
POLK	1,567	283	15.30%	1,850
PUTNAM	65	19	22.62%	84
SANTA ROSA	125	131	51.17%	256
SARASOTA	1,159	112	8.81%	1,271
SEMINOLE	729	230	23.98%	959
ST. JOHNS	205	127	38.25%	332
ST. LUCIE	776	99	11.31%	875
SUMTER	270	77	22.19%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	42	33	44.00%	75
VOLUSIA	1,125	414	26.90%	1,539
WALTON	73	41	35.96%	114
WASHINGTON	44	15	25.42%	59
