County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,508	13,195	21.74%	60,703
ALACHUA	1,354	291	17.69%	1,645
BAKER	112	513	82.08%	625
BAY	426	156	26.80%	582
BRADFORD	5	5	50.00%	10
BREVARD	1,226	385	23.90%	1,611
BROWARD	4,648	874	15.83%	5,522
CALHOUN	8	2	20.00%	10
CHARLOTTE	484	216	30.86%	700
CITRUS	233	82	26.03%	315
CLAY	474	72	13.19%	546
COLLIER	745	167	18.31%	912
COLUMBIA	119	15	11.19%	134
DESOTO	27	28	50.91%	55
DUVAL	3,010	955	24.09%	3,965
ESCAMBIA	975	389	28.52%	1,364
FLAGLER	85	14	14.14%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	5	16	76.19%	21
HARDEE	24	1	4.00%	25
HENDRY	18	11	37.93%	29
HERNANDO	565	185	24.67%	750
HIGHLANDS	224	33	12.84%	257
HILLSBOROUGH	3,326	654	16.43%	3,980
HOLMES	17	3	15.00%	20
INDIAN RIVER	325	148	31.29%	473
JACKSON	48	53	52.48%	101
LAKE	722	195	21.26%	917
LEE	1,522	265	14.83%	1,787
LEON	701	167	19.24%	868
MADISON	4	13	76.47%	17
MANATEE	708	104	12.81%	812
MARION	783	132	14.43%	915
MARTIN	252	238	48.57%	490
MIAMI-DADE	7,001	1,497	17.62%	8,498
MONROE	100	16	13.79%	116
NASSAU	47	39	45.35%	86
OKALOOSA	373	78	17.29%	451
OKEECHOBEE	49	51	51.00%	100
ORANGE	3,380	1,058	23.84%	4,438
OSCEOLA	891	262	22.72%	1,153
PALM BEACH	3,039	1,164	27.69%	4,203
PASCO	1,167	248	17.53%	1,415
PINELLAS	2,448	502	17.02%	2,950
POLK	1,332	319	19.32%	1,651
PUTNAM	71	14	16.47%	85
SANTA ROSA	147	202	57.88%	349
SARASOTA	1,110	215	16.23%	1,325
SEMINOLE	751	147	16.37%	898
ST. JOHNS	213	116	35.26%	329
ST. LUCIE	753	153	16.89%	906
SUMTER	254	93	26.80%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	49	79	61.72%	128
VOLUSIA	1,032	475	31.52%	1,507
WALTON	76	45	37.19%	121
WASHINGTON	44	15	25.42%	59
