County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,382	15,284	26.05%	58,666
ALACHUA	1,253	399	24.15%	1,652
BAKER	525	102	16.27%	627
BAY	380	160	29.63%	540
BREVARD	1,074	501	31.81%	1,575
BROWARD	3,978	1,256	24.00%	5,234
CALHOUN	3	7	70.00%	10
CHARLOTTE	435	262	37.59%	697
CITRUS	177	126	41.58%	303
CLAY	442	104	19.05%	546
COLLIER	696	157	18.41%	853
COLUMBIA	104	16	13.33%	120
DESOTO	29	26	47.27%	55
DUVAL	2,632	1,249	32.18%	3,881
ESCAMBIA	912	430	32.04%	1,342
FLAGLER	85	27	24.11%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	10	32	76.19%	42
HARDEE	23	2	8.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	486	217	30.87%	703
HIGHLANDS	174	120	40.82%	294
HILLSBOROUGH	3,053	739	19.49%	3,792
HOLMES	9	11	55.00%	20
INDIAN RIVER	271	191	41.34%	462
JACKSON	35	46	56.79%	81
LAKE	624	179	22.29%	803
LEE	1,334	298	18.26%	1,632
LEON	574	323	36.01%	897
MADISON	10	5	33.33%	15
MANATEE	701	249	26.21%	950
MARION	703	308	30.46%	1,011
MARTIN	241	249	50.82%	490
MIAMI-DADE	6,520	2,002	23.49%	8,522
MONROE	79	42	34.71%	121
NASSAU	37	49	56.98%	86
OKALOOSA	324	128	28.32%	452
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,116	563	15.30%	3,679
OSCEOLA	835	206	19.79%	1,041
PALM BEACH	2,804	1,311	31.86%	4,115
PASCO	1,022	377	26.95%	1,399
PINELLAS	2,347	570	19.54%	2,917
POLK	1,244	280	18.37%	1,524
PUTNAM	48	36	42.86%	84
SANTA ROSA	122	214	63.69%	336
SARASOTA	933	251	21.20%	1,184
SEMINOLE	666	251	27.37%	917
ST. JOHNS	146	182	55.49%	328
ST. LUCIE	732	156	17.57%	888
SUMTER	210	137	39.48%	347
SUWANNEE	0	0		0
TAYLOR	3	13	81.25%	16
UNION	63	56	47.06%	119
VOLUSIA	957	446	31.79%	1,403
WALTON	104	117	52.94%	221
WASHINGTON	37	22	37.29%	59
