County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,884	13,683	21.87%	62,567
ALACHUA	1,506	274	15.39%	1,780
BAKER	476	149	23.84%	625
BAY	469	86	15.50%	555
BRADFORD	5	5	50.00%	10
BREVARD	1,219	427	25.94%	1,646
BROWARD	4,440	1,007	18.49%	5,447
CALHOUN	3	7	70.00%	10
CHARLOTTE	467	147	23.94%	614
CITRUS	213	82	27.80%	295
CLAY	483	59	10.89%	542
COLLIER	844	106	11.16%	950
COLUMBIA	103	0	0.00%	103
DESOTO	32	26	44.83%	58
DUVAL	2,785	835	23.07%	3,620
ESCAMBIA	1,109	387	25.87%	1,496
FLAGLER	96	3	3.03%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	675	278	29.17%	953
GULF	8	13	61.90%	21
HARDEE	24	1	4.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	534	204	27.64%	738
HIGHLANDS	243	24	8.99%	267
HILLSBOROUGH	3,230	910	21.98%	4,140
HOLMES	12	8	40.00%	20
INDIAN RIVER	365	108	22.83%	473
JACKSON	45	46	50.55%	91
LAKE	955	309	24.45%	1,264
LEE	1,589	247	13.45%	1,836
LEON	720	122	14.49%	842
MADISON	13	2	13.33%	15
MANATEE	667	112	14.38%	779
MARION	827	141	14.57%	968
MARTIN	291	137	32.01%	428
MIAMI-DADE	6,535	2,044	23.83%	8,579
MONROE	74	99	57.23%	173
NASSAU	25	43	63.24%	68
OKALOOSA	367	94	20.39%	461
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,608	1,038	22.34%	4,646
OSCEOLA	967	202	17.28%	1,169
PALM BEACH	3,023	1,077	26.27%	4,100
PASCO	1,103	341	23.61%	1,444
PINELLAS	2,312	833	26.49%	3,145
POLK	1,453	291	16.69%	1,744
PUTNAM	43	41	48.81%	84
SANTA ROSA	104	91	46.67%	195
SARASOTA	1,129	139	10.96%	1,268
SEMINOLE	817	122	12.99%	939
ST. JOHNS	192	140	42.17%	332
ST. LUCIE	750	109	12.69%	859
SUMTER	514	140	21.41%	654
SUWANNEE	0	0		0
TAYLOR	6	11	64.71%	17
UNION	53	17	24.29%	70
VOLUSIA	1,179	417	26.13%	1,596
WALTON	75	39	34.21%	114
WASHINGTON	47	9	16.07%	56
