County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,930	14,871	24.46%	60,801
ALACHUA	1,473	227	13.35%	1,700
BAKER	478	147	23.52%	625
BAY	430	136	24.03%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,168	406	25.79%	1,574
BROWARD	4,030	1,097	21.40%	5,127
CALHOUN	11	0	0.00%	11
CHARLOTTE	462	240	34.19%	702
CITRUS	240	64	21.05%	304
CLAY	457	89	16.30%	546
COLLIER	655	173	20.89%	828
COLUMBIA	100	6	5.66%	106
DESOTO	18	37	67.27%	55
DUVAL	3,122	922	22.80%	4,044
ESCAMBIA	1,051	428	28.94%	1,479
FLAGLER	75	24	24.24%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	756	197	20.67%	953
GULF	6	15	71.43%	21
HARDEE	25	0	0.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	488	240	32.97%	728
HIGHLANDS	194	62	24.22%	256
HILLSBOROUGH	3,132	635	16.86%	3,767
HOLMES	10	10	50.00%	20
INDIAN RIVER	291	153	34.46%	444
JACKSON	46	45	49.45%	91
LAKE	712	201	22.02%	913
LEE	1,449	418	22.39%	1,867
LEON	764	109	12.49%	873
MADISON	9	6	40.00%	15
MANATEE	622	148	19.22%	770
MARION	825	103	11.10%	928
MARTIN	232	258	52.65%	490
MIAMI-DADE	6,233	2,266	26.66%	8,499
MONROE	117	23	16.43%	140
NASSAU	37	31	45.59%	68
OKALOOSA	340	111	24.61%	451
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,454	907	20.80%	4,361
OSCEOLA	838	307	26.81%	1,145
PALM BEACH	2,699	1,297	32.46%	3,996
PASCO	1,099	307	21.83%	1,406
PINELLAS	2,113	864	29.02%	2,977
POLK	1,282	320	19.98%	1,602
PUTNAM	61	23	27.38%	84
SANTA ROSA	146	211	59.10%	357
SARASOTA	994	260	20.73%	1,254
SEMINOLE	738	195	20.90%	933
ST. JOHNS	182	148	44.85%	330
ST. LUCIE	695	178	20.39%	873
SUMTER	246	101	29.11%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	63	41	39.42%	104
VOLUSIA	1,088	517	32.21%	1,605
WALTON	50	67	57.26%	117
WASHINGTON	44	15	25.42%	59
