County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,787	15,817	25.68%	61,604
ALACHUA	1,431	294	17.04%	1,725
BAKER	516	109	17.44%	625
BAY	425	126	22.87%	551
BRADFORD	5	5	50.00%	10
BREVARD	1,170	455	28.00%	1,625
BROWARD	4,163	1,246	23.04%	5,409
CALHOUN	10	0	0.00%	10
CHARLOTTE	402	186	31.63%	588
CITRUS	223	72	24.41%	295
CLAY	495	72	12.70%	567
COLLIER	739	148	16.69%	887
COLUMBIA	93	0	0.00%	93
DESOTO	26	32	55.17%	58
DUVAL	2,657	1,067	28.65%	3,724
ESCAMBIA	1,022	434	29.81%	1,456
FLAGLER	93	6	6.06%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	553	400	41.97%	953
GULF	8	14	63.64%	22
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	498	231	31.69%	729
HIGHLANDS	214	37	14.74%	251
HILLSBOROUGH	3,143	1,013	24.37%	4,156
HOLMES	15	5	25.00%	20
INDIAN RIVER	323	133	29.17%	456
JACKSON	47	56	54.37%	103
LAKE	649	251	27.89%	900
LEE	1,498	324	17.78%	1,822
LEON	686	157	18.62%	843
MADISON	8	7	46.67%	15
MANATEE	677	103	13.21%	780
MARION	796	119	13.01%	915
MARTIN	263	165	38.55%	428
MIAMI-DADE	6,331	2,297	26.62%	8,628
MONROE	58	111	65.68%	169
NASSAU	42	26	38.24%	68
OKALOOSA	369	86	18.90%	455
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,284	1,068	24.54%	4,352
OSCEOLA	871	292	25.11%	1,163
PALM BEACH	2,759	1,231	30.85%	3,990
PASCO	1,074	340	24.05%	1,414
PINELLAS	2,240	1,061	32.14%	3,301
POLK	1,333	349	20.75%	1,682
PUTNAM	59	25	29.76%	84
SANTA ROSA	91	146	61.60%	237
SARASOTA	1,127	129	10.27%	1,256
SEMINOLE	710	241	25.34%	951
ST. JOHNS	184	148	44.58%	332
ST. LUCIE	690	162	19.01%	852
SUMTER	275	72	20.75%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	48	27	36.00%	75
VOLUSIA	1,230	548	30.82%	1,778
WALTON	41	74	64.35%	115
WASHINGTON	33	26	44.07%	59
