County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,793	11,928	19.97%	59,721
ALACHUA	1,366	283	17.16%	1,649
BAKER	525	98	15.73%	623
BAY	419	125	22.98%	544
BREVARD	1,217	392	24.36%	1,609
BROWARD	4,419	932	17.42%	5,351
CALHOUN	6	4	40.00%	10
CHARLOTTE	472	247	34.35%	719
CITRUS	222	96	30.19%	318
CLAY	474	66	12.22%	540
COLLIER	709	152	17.65%	861
COLUMBIA	119	18	13.14%	137
DESOTO	36	19	34.55%	55
DUVAL	3,000	755	20.11%	3,755
ESCAMBIA	998	347	25.80%	1,345
FLAGLER	108	4	3.57%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	4	38	90.48%	42
HARDEE	22	3	12.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	571	179	23.87%	750
HIGHLANDS	197	77	28.10%	274
HILLSBOROUGH	3,288	537	14.04%	3,825
HOLMES	11	9	45.00%	20
INDIAN RIVER	284	181	38.92%	465
JACKSON	54	27	33.33%	81
LAKE	766	115	13.05%	881
LEE	1,553	200	11.41%	1,753
LEON	724	173	19.29%	897
MADISON	9	6	40.00%	15
MANATEE	812	108	11.74%	920
MARION	818	102	11.09%	920
MARTIN	241	249	50.82%	490
MIAMI-DADE	6,688	1,911	22.22%	8,599
MONROE	85	38	30.89%	123
NASSAU	48	38	44.19%	86
OKALOOSA	374	81	17.80%	455
OKEECHOBEE	62	38	38.00%	100
ORANGE	3,468	420	10.80%	3,888
OSCEOLA	874	175	16.68%	1,049
PALM BEACH	3,293	1,146	25.82%	4,439
PASCO	1,164	193	14.22%	1,357
PINELLAS	2,422	598	19.80%	3,020
POLK	1,326	271	16.97%	1,597
PUTNAM	66	18	21.43%	84
SANTA ROSA	139	199	58.88%	338
SARASOTA	1,035	208	16.73%	1,243
SEMINOLE	794	96	10.79%	890
ST. JOHNS	190	142	42.77%	332
ST. LUCIE	769	147	16.05%	916
SUMTER	223	124	35.73%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	56	69	55.20%	125
VOLUSIA	1,091	318	22.57%	1,409
WALTON	122	97	44.29%	219
WASHINGTON	43	16	27.12%	59
