County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,886	1,242	20.27%	6,128	436	341	43.89%	777
ALACHUA	284	24	7.79%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	54	10	15.63%	64	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	127	37	22.56%	164	0	0		0
BROWARD	380	93	19.66%	473	52	130	71.43%	182
CALHOUN	0	0		0	0	0		0
CHARLOTTE	39	13	25.00%	52	0	0		0
CITRUS	31	9	22.50%	40	0	0		0
CLAY	49	13	20.97%	62	4	0	0.00%	4
COLLIER	75	10	11.76%	85	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	326	98	23.11%	424	22	6	21.43%	28
ESCAMBIA	113	28	19.86%	141	8	8	50.00%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	52	11	17.46%	63	0	0		0
HIGHLANDS	24	1	4.00%	25	0	0		0
HILLSBOROUGH	319	74	18.83%	393	25	21	45.65%	46
HOLMES	0	0		0	0	0		0
INDIAN RIVER	22	8	26.67%	30	0	0		0
JACKSON	5	2	28.57%	7	0	0		0
LAKE	78	26	25.00%	104	0	0		0
LEE	129	16	11.03%	145	61	25	29.07%	86
LEON	68	4	5.56%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	58	8	12.12%	66	0	0		0
MARION	86	9	9.47%	95	0	0		0
MARTIN	19	6	24.00%	25	0	0		0
MIAMI-DADE	734	225	23.46%	959	65	63	49.22%	128
MONROE	15	2	11.76%	17	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	54	0	0.00%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	289	109	27.39%	398	85	41	32.54%	126
OSCEOLA	98	25	20.33%	123	0	0		0
PALM BEACH	291	104	26.33%	395	16	16	50.00%	32
PASCO	117	25	17.61%	142	0	0		0
PINELLAS	267	75	21.93%	342	40	4	9.09%	44
POLK	145	38	20.77%	183	11	3	21.43%	14
PUTNAM	6	4	40.00%	10	0	0		0
SANTA ROSA	15	2	11.76%	17	0	0		0
SARASOTA	82	30	26.79%	112	0	0		0
SEMINOLE	56	17	23.29%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	3	3	50.00%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	173	31	15.20%	204	0	5	100.00%	5
WALTON	18	4	18.18%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
