County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,174	1,018	16.44%	6,192	362	244	40.26%	606
ALACHUA	280	28	9.09%	308	29	18	38.30%	47
BAKER	0	0		0	0	0		0
BAY	86	6	6.52%	92	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	134	44	24.72%	178	0	0		0
BROWARD	443	58	11.58%	501	28	36	56.25%	64
CALHOUN	0	0		0	0	0		0
CHARLOTTE	41	8	16.33%	49	0	0		0
CITRUS	38	2	5.00%	40	0	0		0
CLAY	41	1	2.38%	42	2	4	66.67%	6
COLLIER	62	19	23.46%	81	0	0		0
COLUMBIA	21	3	12.50%	24	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	344	95	21.64%	439	20	20	50.00%	40
ESCAMBIA	112	6	5.08%	118	7	9	56.25%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	51	12	19.05%	63	0	0		0
HIGHLANDS	21	3	12.50%	24	0	0		0
HILLSBOROUGH	337	38	10.13%	375	19	21	52.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	4	12.90%	31	0	0		0
JACKSON	9	3	25.00%	12	0	0		0
LAKE	74	30	28.85%	104	0	0		0
LEE	127	13	9.29%	140	59	27	31.40%	86
LEON	63	9	12.50%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	61	8	11.59%	69	0	0		0
MARION	80	4	4.76%	84	0	0		0
MARTIN	17	22	56.41%	39	0	0		0
MIAMI-DADE	856	146	14.57%	1,002	69	18	20.69%	87
MONROE	7	5	41.67%	12	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	296	75	20.22%	371	64	48	42.86%	112
OSCEOLA	89	38	29.92%	127	0	6	100.00%	6
PALM BEACH	308	106	25.60%	414	17	15	46.88%	32
PASCO	118	9	7.09%	127	0	0		0
PINELLAS	257	42	14.05%	299	41	5	10.87%	46
POLK	150	12	7.41%	162	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	13	9	40.91%	22	0	0		0
SARASOTA	89	26	22.61%	115	0	0		0
SEMINOLE	66	7	9.59%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	87	3	3.33%	90	3	3	50.00%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	199	81	28.93%	280	0	5	100.00%	5
WALTON	18	5	21.74%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
