County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,469	15,195	24.64%	61,664
ALACHUA	1,473	254	14.71%	1,727
BAKER	487	140	22.33%	627
BAY	458	89	16.27%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,241	391	23.96%	1,632
BROWARD	4,186	1,041	19.92%	5,227
CALHOUN	7	3	30.00%	10
CHARLOTTE	437	179	29.06%	616
CITRUS	224	70	23.81%	294
CLAY	470	88	15.77%	558
COLLIER	703	170	19.47%	873
COLUMBIA	101	0	0.00%	101
DESOTO	17	38	69.09%	55
DUVAL	2,919	847	22.49%	3,766
ESCAMBIA	1,102	354	24.31%	1,456
FLAGLER	88	11	11.11%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	632	321	33.68%	953
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	528	203	27.77%	731
HIGHLANDS	210	50	19.23%	260
HILLSBOROUGH	3,247	476	12.79%	3,723
HOLMES	12	8	40.00%	20
INDIAN RIVER	322	145	31.05%	467
JACKSON	34	49	59.04%	83
LAKE	688	229	24.97%	917
LEE	1,449	375	20.56%	1,824
LEON	711	152	17.61%	863
MADISON	5	10	66.67%	15
MANATEE	659	127	16.16%	786
MARION	764	139	15.39%	903
MARTIN	270	245	47.57%	515
MIAMI-DADE	6,339	2,290	26.54%	8,629
MONROE	101	66	39.52%	167
NASSAU	35	33	48.53%	68
OKALOOSA	379	72	15.96%	451
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,357	1,619	32.54%	4,976
OSCEOLA	885	291	24.74%	1,176
PALM BEACH	2,722	1,293	32.20%	4,015
PASCO	1,135	238	17.33%	1,373
PINELLAS	2,301	963	29.50%	3,264
POLK	1,292	357	21.65%	1,649
PUTNAM	66	18	21.43%	84
SANTA ROSA	114	225	66.37%	339
SARASOTA	1,051	224	17.57%	1,275
SEMINOLE	724	216	22.98%	940
ST. JOHNS	190	141	42.60%	331
ST. LUCIE	696	177	20.27%	873
SUMTER	269	78	22.48%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	62	28	31.11%	90
VOLUSIA	1,103	478	30.23%	1,581
WALTON	50	67	57.26%	117
WASHINGTON	47	12	20.34%	59
