County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,143	1,030	16.69%	6,173	356	256	41.83%	612
ALACHUA	279	29	9.42%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	65	1	1.52%	66	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	120	54	31.03%	174	0	0		0
BROWARD	492	34	6.46%	526	31	24	43.64%	55
CALHOUN	0	0		0	0	0		0
CHARLOTTE	49	11	18.33%	60	0	0		0
CITRUS	34	5	12.82%	39	0	0		0
CLAY	41	1	2.38%	42	4	10	71.43%	14
COLLIER	56	24	30.00%	80	0	0		0
COLUMBIA	12	2	14.29%	14	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	331	110	24.94%	441	16	24	60.00%	40
ESCAMBIA	132	7	5.04%	139	8	8	50.00%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	52	11	17.46%	63	0	0		0
HIGHLANDS	30	4	11.76%	34	0	0		0
HILLSBOROUGH	331	49	12.89%	380	21	16	43.24%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	10	32.26%	31	0	0		0
JACKSON	9	6	40.00%	15	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	128	13	9.22%	141	57	29	33.72%	86
LEON	67	5	6.94%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	58	10	14.71%	68	0	0		0
MARION	79	5	5.95%	84	0	0		0
MARTIN	11	28	71.79%	39	0	0		0
MIAMI-DADE	901	99	9.90%	1,000	53	45	45.92%	98
MONROE	9	0	0.00%	9	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	282	90	24.19%	372	76	37	32.74%	113
OSCEOLA	96	33	25.58%	129	0	6	100.00%	6
PALM BEACH	313	111	26.18%	424	8	24	75.00%	32
PASCO	117	13	10.00%	130	0	0		0
PINELLAS	253	37	12.76%	290	40	4	9.09%	44
POLK	145	25	14.71%	170	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	11	10	47.62%	21	0	0		0
SARASOTA	82	27	24.77%	109	0	0		0
SEMINOLE	63	10	13.70%	73	0	0		0
ST. JOHNS	18	26	59.09%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	5	1	16.67%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	168	55	24.66%	223	0	5	100.00%	5
WALTON	17	6	26.09%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
