County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,050	15,491	25.17%	61,541
ALACHUA	1,415	313	18.11%	1,728
BAKER	498	127	20.32%	625
BAY	455	100	18.02%	555
BRADFORD	5	5	50.00%	10
BREVARD	1,208	430	26.25%	1,638
BROWARD	4,148	1,065	20.43%	5,213
CALHOUN	6	4	40.00%	10
CHARLOTTE	434	189	30.34%	623
CITRUS	227	81	26.30%	308
CLAY	480	72	13.04%	552
COLLIER	702	153	17.89%	855
COLUMBIA	97	0	0.00%	97
DESOTO	20	35	63.64%	55
DUVAL	2,832	966	25.43%	3,798
ESCAMBIA	1,068	388	26.65%	1,456
FLAGLER	96	3	3.03%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	568	385	40.40%	953
GULF	5	16	76.19%	21
HARDEE	20	5	20.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	509	226	30.75%	735
HIGHLANDS	205	50	19.61%	255
HILLSBOROUGH	3,230	795	19.75%	4,025
HOLMES	7	13	65.00%	20
INDIAN RIVER	331	133	28.66%	464
JACKSON	27	63	70.00%	90
LAKE	681	237	25.82%	918
LEE	1,510	333	18.07%	1,843
LEON	769	148	16.14%	917
MADISON	11	4	26.67%	15
MANATEE	652	109	14.32%	761
MARION	780	135	14.75%	915
MARTIN	257	173	40.23%	430
MIAMI-DADE	6,331	2,410	27.57%	8,741
MONROE	72	85	54.14%	157
NASSAU	31	37	54.41%	68
OKALOOSA	386	67	14.79%	453
OKEECHOBEE	43	57	57.00%	100
ORANGE	3,343	1,096	24.69%	4,439
OSCEOLA	869	301	25.73%	1,170
PALM BEACH	2,778	1,242	30.90%	4,020
PASCO	1,078	269	19.97%	1,347
PINELLAS	2,295	1,030	30.98%	3,325
POLK	1,315	375	22.19%	1,690
PUTNAM	64	20	23.81%	84
SANTA ROSA	127	224	63.82%	351
SARASOTA	1,008	233	18.78%	1,241
SEMINOLE	699	231	24.84%	930
ST. JOHNS	188	143	43.20%	331
ST. LUCIE	685	190	21.71%	875
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	56	25	30.86%	81
VOLUSIA	1,063	487	31.42%	1,550
WALTON	57	60	51.28%	117
WASHINGTON	42	17	28.81%	59
