County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,392	13,648	22.00%	62,040
ALACHUA	1,518	279	15.53%	1,797
BAKER	477	146	23.43%	623
BAY	455	96	17.42%	551
BRADFORD	5	5	50.00%	10
BREVARD	1,243	389	23.84%	1,632
BROWARD	4,457	979	18.01%	5,436
CALHOUN	10	0	0.00%	10
CHARLOTTE	437	164	27.29%	601
CITRUS	216	91	29.64%	307
CLAY	456	87	16.02%	543
COLLIER	802	145	15.31%	947
COLUMBIA	103	0	0.00%	103
DESOTO	22	37	62.71%	59
DUVAL	2,800	943	25.19%	3,743
ESCAMBIA	1,059	411	27.96%	1,470
FLAGLER	94	5	5.05%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	689	264	27.70%	953
GULF	6	15	71.43%	21
HARDEE	25	0	0.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	474	196	29.25%	670
HIGHLANDS	242	9	3.59%	251
HILLSBOROUGH	3,290	840	20.34%	4,130
HOLMES	15	5	25.00%	20
INDIAN RIVER	340	115	25.27%	455
JACKSON	34	54	61.36%	88
LAKE	679	233	25.55%	912
LEE	1,605	224	12.25%	1,829
LEON	757	109	12.59%	866
MADISON	8	7	46.67%	15
MANATEE	708	115	13.97%	823
MARION	828	130	13.57%	958
MARTIN	296	118	28.50%	414
MIAMI-DADE	6,701	1,951	22.55%	8,652
MONROE	92	72	43.90%	164
NASSAU	44	24	35.29%	68
OKALOOSA	353	107	23.26%	460
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,400	1,266	27.13%	4,666
OSCEOLA	924	233	20.14%	1,157
PALM BEACH	3,027	1,075	26.21%	4,102
PASCO	1,132	307	21.33%	1,439
PINELLAS	2,452	709	22.43%	3,161
POLK	1,377	334	19.52%	1,711
PUTNAM	58	26	30.95%	84
SANTA ROSA	91	102	52.85%	193
SARASOTA	1,178	165	12.29%	1,343
SEMINOLE	733	206	21.94%	939
ST. JOHNS	211	121	36.45%	332
ST. LUCIE	756	108	12.50%	864
SUMTER	268	79	22.77%	347
SUWANNEE	0	0		0
TAYLOR	9	39	81.25%	48
UNION	46	24	34.29%	70
VOLUSIA	1,236	326	20.87%	1,562
WALTON	55	59	51.75%	114
WASHINGTON	45	14	23.73%	59
