County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,848	1,254	20.55%	6,102	366	254	40.97%	620
ALACHUA	292	16	5.19%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	51	9	15.00%	60	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	129	42	24.56%	171	0	0		0
BROWARD	423	84	16.57%	507	36	27	42.86%	63
CALHOUN	0	0		0	0	0		0
CHARLOTTE	39	10	20.41%	49	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	35	7	16.67%	42	3	11	78.57%	14
COLLIER	50	35	41.18%	85	0	0		0
COLUMBIA	14	6	30.00%	20	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	336	105	23.81%	441	13	27	67.50%	40
ESCAMBIA	133	7	5.00%	140	5	11	68.75%	16
FLAGLER	10	8	44.44%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	57	5	8.06%	62	0	0		0
HIGHLANDS	26	4	13.33%	30	0	0		0
HILLSBOROUGH	306	53	14.76%	359	23	11	32.35%	34
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	10	33.33%	30	0	0		0
JACKSON	10	4	28.57%	14	0	0		0
LAKE	74	30	28.85%	104	0	0		0
LEE	112	29	20.57%	141	64	22	25.58%	86
LEON	56	16	22.22%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	52	13	20.00%	65	0	0		0
MARION	86	9	9.47%	95	0	0		0
MARTIN	18	21	53.85%	39	0	0		0
MIAMI-DADE	818	157	16.10%	975	62	41	39.81%	103
MONROE	7	0	0.00%	7	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	41	13	24.07%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	285	87	23.39%	372	70	42	37.50%	112
OSCEOLA	85	44	34.11%	129	0	6	100.00%	6
PALM BEACH	305	106	25.79%	411	18	14	43.75%	32
PASCO	109	27	19.85%	136	0	0		0
PINELLAS	239	63	20.86%	302	28	15	34.88%	43
POLK	134	36	21.18%	170	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	10	9	47.37%	19	0	0		0
SARASOTA	72	36	33.33%	108	0	0		0
SEMINOLE	62	11	15.07%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	81	9	10.00%	90	5	1	16.67%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	147	72	32.88%	219	0	5	100.00%	5
WALTON	8	15	65.22%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
