County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,438	14,408	23.68%	60,846
ALACHUA	1,479	221	13.00%	1,700
BAKER	466	159	25.44%	625
BAY	453	81	15.17%	534
BRADFORD	5	5	50.00%	10
BREVARD	1,188	425	26.35%	1,613
BROWARD	4,166	1,054	20.19%	5,220
CALHOUN	8	2	20.00%	10
CHARLOTTE	434	183	29.66%	617
CITRUS	235	78	24.92%	313
CLAY	496	57	10.31%	553
COLLIER	642	199	23.66%	841
COLUMBIA	105	0	0.00%	105
DESOTO	8	47	85.45%	55
DUVAL	2,829	802	22.09%	3,631
ESCAMBIA	1,100	373	25.32%	1,473
FLAGLER	86	13	13.13%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	700	253	26.55%	953
GULF	6	15	71.43%	21
HARDEE	22	0	0.00%	22
HENDRY	11	18	62.07%	29
HERNANDO	523	215	29.13%	738
HIGHLANDS	220	37	14.40%	257
HILLSBOROUGH	3,259	547	14.37%	3,806
HOLMES	18	2	10.00%	20
INDIAN RIVER	328	130	28.38%	458
JACKSON	31	66	68.04%	97
LAKE	680	231	25.36%	911
LEE	1,439	391	21.37%	1,830
LEON	729	136	15.72%	865
MADISON	5	12	70.59%	17
MANATEE	658	113	14.66%	771
MARION	797	122	13.28%	919
MARTIN	246	261	51.48%	507
MIAMI-DADE	6,324	2,273	26.44%	8,597
MONROE	90	73	44.79%	163
NASSAU	27	41	60.29%	68
OKALOOSA	376	77	17.00%	453
OKEECHOBEE	62	38	38.00%	100
ORANGE	3,324	1,044	23.90%	4,368
OSCEOLA	887	269	23.27%	1,156
PALM BEACH	2,722	1,328	32.79%	4,050
PASCO	1,168	184	13.61%	1,352
PINELLAS	2,331	922	28.34%	3,253
POLK	1,312	337	20.44%	1,649
PUTNAM	70	14	16.67%	84
SANTA ROSA	106	230	68.45%	336
SARASOTA	1,051	181	14.69%	1,232
SEMINOLE	749	172	18.68%	921
ST. JOHNS	211	119	36.06%	330
ST. LUCIE	723	150	17.18%	873
SUMTER	253	94	27.09%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	61	27	30.68%	88
VOLUSIA	1,118	485	30.26%	1,603
WALTON	53	64	54.70%	117
WASHINGTON	41	18	30.51%	59
