County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,216	13,670	22.09%	61,886
ALACHUA	1,567	200	11.32%	1,767
BAKER	488	137	21.92%	625
BAY	457	99	17.81%	556
BRADFORD	5	5	50.00%	10
BREVARD	1,222	437	26.34%	1,659
BROWARD	4,279	1,009	19.08%	5,288
CALHOUN	7	3	30.00%	10
CHARLOTTE	411	191	31.73%	602
CITRUS	223	73	24.66%	296
CLAY	490	72	12.81%	562
COLLIER	784	138	14.97%	922
COLUMBIA	99	0	0.00%	99
DESOTO	33	25	43.10%	58
DUVAL	2,743	1,034	27.38%	3,777
ESCAMBIA	1,054	429	28.93%	1,483
FLAGLER	92	11	10.68%	103
FRANKLIN	1	14	93.33%	15
GADSDEN	639	314	32.95%	953
GULF	10	11	52.38%	21
HARDEE	25	0	0.00%	25
HENDRY	2	27	93.10%	29
HERNANDO	557	180	24.42%	737
HIGHLANDS	243	35	12.59%	278
HILLSBOROUGH	3,422	739	17.76%	4,161
HOLMES	16	4	20.00%	20
INDIAN RIVER	365	108	22.83%	473
JACKSON	43	53	55.21%	96
LAKE	749	183	19.64%	932
LEE	1,632	277	14.51%	1,909
LEON	778	98	11.19%	876
MADISON	9	6	40.00%	15
MANATEE	631	146	18.79%	777
MARION	904	83	8.41%	987
MARTIN	309	118	27.63%	427
MIAMI-DADE	6,520	2,115	24.49%	8,635
MONROE	76	93	55.03%	169
NASSAU	41	27	39.71%	68
OKALOOSA	377	85	18.40%	462
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,526	1,067	23.23%	4,593
OSCEOLA	917	241	20.81%	1,158
PALM BEACH	2,922	1,106	27.46%	4,028
PASCO	1,134	292	20.48%	1,426
PINELLAS	2,444	729	22.98%	3,173
POLK	1,389	329	19.15%	1,718
PUTNAM	67	17	20.24%	84
SANTA ROSA	143	115	44.57%	258
SARASOTA	1,107	155	12.28%	1,262
SEMINOLE	762	180	19.11%	942
ST. JOHNS	199	133	40.06%	332
ST. LUCIE	767	110	12.54%	877
SUMTER	253	94	27.09%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	50	25	33.33%	75
VOLUSIA	1,070	376	26.00%	1,446
WALTON	64	50	43.86%	114
WASHINGTON	41	18	30.51%	59
