County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	42,933	17,529	28.99%	60,462
ALACHUA	1,373	334	19.57%	1,707
BAKER	469	156	24.96%	625
BAY	436	108	19.85%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,158	493	29.86%	1,651
BROWARD	3,947	1,210	23.46%	5,157
CALHOUN	6	4	40.00%	10
CHARLOTTE	383	201	34.42%	584
CITRUS	200	83	29.33%	283
CLAY	433	122	21.98%	555
COLLIER	644	186	22.41%	830
COLUMBIA	101	0	0.00%	101
DESOTO	18	36	66.67%	54
DUVAL	2,597	1,149	30.67%	3,746
ESCAMBIA	970	519	34.86%	1,489
FLAGLER	85	14	14.14%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	745	208	21.83%	953
GULF	5	16	76.19%	21
HARDEE	21	4	16.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	462	293	38.81%	755
HIGHLANDS	159	94	37.15%	253
HILLSBOROUGH	2,844	815	22.27%	3,659
HOLMES	7	13	65.00%	20
INDIAN RIVER	270	171	38.78%	441
JACKSON	35	63	64.29%	98
LAKE	697	205	22.73%	902
LEE	1,339	522	28.05%	1,861
LEON	684	163	19.24%	847
MADISON	8	7	46.67%	15
MANATEE	619	133	17.69%	752
MARION	742	143	16.16%	885
MARTIN	224	282	55.73%	506
MIAMI-DADE	5,882	2,571	30.42%	8,453
MONROE	108	25	18.80%	133
NASSAU	29	39	57.35%	68
OKALOOSA	332	119	26.39%	451
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,145	1,186	27.38%	4,331
OSCEOLA	784	366	31.83%	1,150
PALM BEACH	2,561	1,482	36.66%	4,043
PASCO	1,061	337	24.11%	1,398
PINELLAS	2,126	1,045	32.95%	3,171
POLK	1,217	445	26.77%	1,662
PUTNAM	55	29	34.52%	84
SANTA ROSA	134	218	61.93%	352
SARASOTA	914	301	24.77%	1,215
SEMINOLE	589	360	37.93%	949
ST. JOHNS	163	167	50.61%	330
ST. LUCIE	642	233	26.63%	875
SUMTER	230	117	33.72%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	62	36	36.73%	98
VOLUSIA	1,047	535	33.82%	1,582
WALTON	50	67	57.26%	117
WASHINGTON	46	13	22.03%	59
