County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,881	15,815	25.63%	61,696
ALACHUA	1,418	374	20.87%	1,792
BAKER	474	151	24.16%	625
BAY	418	126	23.16%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,142	480	29.59%	1,622
BROWARD	4,271	1,101	20.50%	5,372
CALHOUN	8	2	20.00%	10
CHARLOTTE	402	204	33.66%	606
CITRUS	194	106	35.33%	300
CLAY	447	160	26.36%	607
COLLIER	756	160	17.47%	916
COLUMBIA	95	0	0.00%	95
DESOTO	12	47	79.66%	59
DUVAL	2,513	1,159	31.56%	3,672
ESCAMBIA	946	494	34.31%	1,440
FLAGLER	93	6	6.06%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	702	251	26.34%	953
GULF	5	16	76.19%	21
HARDEE	22	3	12.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	413	212	33.92%	625
HIGHLANDS	208	48	18.75%	256
HILLSBOROUGH	3,220	981	23.35%	4,201
HOLMES	11	9	45.00%	20
INDIAN RIVER	329	118	26.40%	447
JACKSON	38	55	59.14%	93
LAKE	630	266	29.69%	896
LEE	1,582	275	14.81%	1,857
LEON	744	109	12.78%	853
MADISON	6	9	60.00%	15
MANATEE	643	119	15.62%	762
MARION	787	126	13.80%	913
MARTIN	238	176	42.51%	414
MIAMI-DADE	6,386	2,218	25.78%	8,604
MONROE	82	79	49.07%	161
NASSAU	31	37	54.41%	68
OKALOOSA	316	147	31.75%	463
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,390	1,336	28.27%	4,726
OSCEOLA	866	291	25.15%	1,157
PALM BEACH	2,869	1,161	28.81%	4,030
PASCO	1,151	279	19.51%	1,430
PINELLAS	2,286	908	28.43%	3,194
POLK	1,290	424	24.74%	1,714
PUTNAM	58	26	30.95%	84
SANTA ROSA	92	100	52.08%	192
SARASOTA	1,088	204	15.79%	1,292
SEMINOLE	696	246	26.11%	942
ST. JOHNS	196	135	40.79%	331
ST. LUCIE	738	128	14.78%	866
SUMTER	234	113	32.56%	347
SUWANNEE	0	0		0
TAYLOR	5	43	89.58%	48
UNION	48	22	31.43%	70
VOLUSIA	1,131	417	26.94%	1,548
WALTON	49	57	53.77%	106
WASHINGTON	40	19	32.20%	59
