County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,684	17,181	28.23%	60,865
ALACHUA	1,369	330	19.42%	1,699
BAKER	489	139	22.13%	628
BAY	421	125	22.89%	546
BRADFORD	5	5	50.00%	10
BREVARD	1,153	459	28.47%	1,612
BROWARD	3,987	1,164	22.60%	5,151
CALHOUN	4	6	60.00%	10
CHARLOTTE	416	194	31.80%	610
CITRUS	197	98	33.22%	295
CLAY	458	93	16.88%	551
COLLIER	646	198	23.46%	844
COLUMBIA	85	6	6.59%	91
DESOTO	23	32	58.18%	55
DUVAL	2,645	866	24.67%	3,511
ESCAMBIA	997	459	31.52%	1,456
FLAGLER	81	18	18.18%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	630	323	33.89%	953
GULF	5	16	76.19%	21
HARDEE	23	2	8.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	485	246	33.65%	731
HIGHLANDS	193	62	24.31%	255
HILLSBOROUGH	3,107	649	17.28%	3,756
HOLMES	12	8	40.00%	20
INDIAN RIVER	294	177	37.58%	471
JACKSON	32	55	63.22%	87
LAKE	669	248	27.04%	917
LEE	1,366	451	24.82%	1,817
LEON	650	201	23.62%	851
MADISON	6	9	60.00%	15
MANATEE	646	113	14.89%	759
MARION	736	146	16.55%	882
MARTIN	232	280	54.69%	512
MIAMI-DADE	5,880	2,706	31.52%	8,586
MONROE	77	105	57.69%	182
NASSAU	28	40	58.82%	68
OKALOOSA	345	105	23.33%	450
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,231	1,681	34.22%	4,912
OSCEOLA	840	313	27.15%	1,153
PALM BEACH	2,532	1,469	36.72%	4,001
PASCO	1,063	246	18.79%	1,309
PINELLAS	2,204	978	30.74%	3,182
POLK	1,229	391	24.14%	1,620
PUTNAM	56	28	33.33%	84
SANTA ROSA	95	236	71.30%	331
SARASOTA	955	266	21.79%	1,221
SEMINOLE	702	233	24.92%	935
ST. JOHNS	181	150	45.32%	331
ST. LUCIE	689	185	21.17%	874
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	64	27	29.67%	91
VOLUSIA	1,049	567	35.09%	1,616
WALTON	46	71	60.68%	117
WASHINGTON	42	17	28.81%	59
