County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	44,350	16,929	27.63%	61,279
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	836	212	20.23%	1,048
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	425	58	12.01%	483
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	53	7	11.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	64	17	20.99%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	46	2	4.17%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	4	8	66.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	462	151	24.63%	613
BAY	100026	ASCENSION SACRED HEART BAY	121	19	13.57%	140
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	182	49	21.21%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	70	16	18.60%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	41	5	10.87%	46
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	18	12	40.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	402	104	20.55%	506
BREVARD	100028	PARRISH MEDICAL CENTER	85	94	52.51%	179
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	135	51	27.42%	186
BREVARD	100177	CAPE CANAVERAL HOSPITAL	92	48	34.29%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	46	4	8.00%	50
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	99	16	13.91%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	31	84	73.04%	115
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	45	15	25.00%	60
BREVARD	23960092	VIERA HOSPITAL	50	30	37.50%	80
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	25	19	43.18%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	658	115	14.88%	773
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	370	38	9.31%	408
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	77	42	35.29%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	200	30	13.04%	230
BROWARD	100073	HOLY CROSS HOSPITAL	188	160	45.98%	348
BROWARD	100086	BROWARD HEALTH NORTH	234	8	3.31%	242
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	36	28	43.75%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	123	141	53.41%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	174	116	40.00%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	120	2	1.64%	122
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	158	34	17.71%	192
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	152	165	52.05%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	80	39	32.77%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	196	54	21.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	101	26	20.47%	127
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	5	21	80.77%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	81	29	26.36%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	283	0	0.00%	283
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	33	17	34.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	147	11	6.96%	158
BROWARD	111527	MEMORIAL HOSPITAL WEST	329	48	12.73%	377
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	102	76	42.70%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	6	4	40.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	89	40	31.01%	129
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	158	86	35.25%	244
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	172	81	32.02%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	132	72	35.29%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	72	20	21.74%	92
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	46	27	36.99%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	527	47	8.19%	574
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	95	40	29.63%	135
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	202	63	23.77%	265
COLLIER	110043	WILLOUGH AT NAPLES, THE	60	21	25.93%	81
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	191	56	22.67%	247
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	107	2	1.83%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	55	45	45.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	30	20	40.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	97	0	0.00%	97
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	7	48	87.27%	55
DUVAL	100001	UF HEALTH JACKSONVILLE	476	127	21.06%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	270	242	47.27%	512
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	392	64	14.04%	456
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	91	59	39.33%	150
DUVAL	100151	MAYO CLINIC	251	53	17.43%	304
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	323	176	35.27%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	133	6	4.32%	139
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	22	2	8.33%	24
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	66	18	21.43%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	217	84	27.91%	301
DUVAL	23960061	WEKIVA SPRINGS	83	53	38.97%	136
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	102	141	58.02%	243
DUVAL	23960123	UF HEALTH NORTH	89	3	3.26%	92
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	133	67	33.50%	200
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	352	206	36.92%	558
ESCAMBIA	100093	BAPTIST HOSPITAL	277	149	34.98%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	302	129	29.93%	431
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	64	11	14.67%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	90	9	9.09%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	1	14	93.33%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	727	222	23.39%	949
GULF	23960084	ASCENSION SACRED HEART GULF	9	12	57.14%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	24	0	0.00%	24
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	12	17	58.62%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	50	60	54.55%	110
HERNANDO	100264	OAK HILL HOSPITAL	246	104	29.71%	350
HERNANDO	110054	SPRINGBROOK HOSPITAL	65	0	0.00%	65
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	52	76	59.38%	128
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	59	21	26.25%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	39	25	39.06%	64
HIGHLANDS	100109	ADVENTHEALTH SEBRING	140	31	18.13%	171
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	12	10	45.45%	22
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	101	9	8.18%	110
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	516	417	44.69%	933
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	53	19	26.39%	72
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	822	177	17.72%	999
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	81	11	11.96%	92
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	60	27	31.03%	87
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	403	96	19.24%	499
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	91	10	9.90%	101
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	355	139	28.14%	494
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	36	6	14.29%	42
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	62	0	0.00%	62
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	55	20.15%	273
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	91	22	19.47%	113
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	117	5	4.10%	122
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	53	7	11.67%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	10	10	50.00%	20
INDIAN RIVER	100105	CLEVELAND CLINIC INDIAN RIVER HOSPITAL	186	115	38.21%	301
INDIAN RIVER	100217	STEWARD SEBASTIAN RIVER MEDICAL CENTER	74	18	19.57%	92
INDIAN RIVER	110017	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST	39	26	40.00%	65
JACKSON	100138	CAMPBELLTON-GRACEVILLE HOSPITAL	0	0		0
JACKSON	100142	JACKSON HOSPITAL	40	56	58.33%	96
LAKE	100051	ORLANDO HEALTH SOUTH LAKE HOSPITAL	184	22	10.68%	206
LAKE	100057	ADVENTHEALTH WATERMAN	205	95	31.67%	300
LAKE	100084	UF HEALTH LEESBURG HOSPITAL INC	240	90	27.27%	330
LAKE	100214	UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER	4	17	80.95%	21
LAKE	104018	LIFESTREAM BEHAVIORAL CENTER	42	4	8.70%	46
LEE	100012	LEE MEMORIAL HOSPITAL	261	83	24.13%	344
LEE	100107	LEHIGH REGIONAL MEDICAL CENTER	27	17	38.64%	44
LEE	100220	GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM	419	138	24.78%	557
LEE	100244	CAPE CORAL HOSPITAL	223	53	19.20%	276
LEE	120005	HEALTHPARK MEDICAL CENTER	320	123	27.77%	443
LEE	23960103	PARK ROYAL HOSPITAL	91	23	20.18%	114
LEE	23960107	SELECT SPECIALTY HOSPITAL-FORT MYERS	39	21	35.00%	60
LEON	100135	TALLAHASSEE MEMORIAL HOSPITAL	419	33	7.30%	452
LEON	100254	CAPITAL REGIONAL MEDICAL CENTER	227	43	15.93%	270
LEON	110021	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE	32	23	41.82%	55
LEON	110044	EASTSIDE PSYCHIATRIC HOSPITAL	24	8	25.00%	32
LEON	23960059	SELECT SPECIALTY HOSPITAL - TALLAHASSEE	30	18	37.50%	48
MADISON	100004	MADISON COUNTY MEMORIAL HOSPITAL	6	9	60.00%	15
MANATEE	100035	MANATEE MEMORIAL HOSPITAL	307	18	5.54%	325
