County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	5,169	1,028	16.59%	6,197	426	248	36.80%	674
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	247	13	5.00%	260	42	5	10.64%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	45	3	6.25%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	39	5	11.36%	44	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	20	0	0.00%	20	1	3	75.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	60	8	11.76%	68	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	12	0	0.00%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	28	11	28.21%	39	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	8	4	33.33%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	11	5	31.25%	16	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	8	4	33.33%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	5	3	37.50%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	19	1	5.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	56	11	16.42%	67	37	17	31.48%	54
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	57	0	0.00%	57	8	0	0.00%	8
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	8	1	11.11%	9	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	43	5	10.42%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	29	13	30.95%	42	0	12	100.00%	12
BROWARD	100086	BROWARD HEALTH NORTH	26	3	10.34%	29	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	7	1	12.50%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	11	9	45.00%	20	2	6	75.00%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	19	11	36.67%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	8	0	0.00%	8	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	25	11	30.56%	36	0	0		0
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	13	2	13.33%	15	0	0		0
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	0	0		0	0	0		0
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	29	3	9.38%	32	0	0		0
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	17	2	10.53%	19	0	0		0
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	0	0		0	0	0		0
