County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	49,797	12,518	20.09%	62,315
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	921	144	13.52%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	456	46	9.16%	502
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	56	4	6.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	50	31	38.27%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	4	8	66.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	476	137	22.35%	613
BAY	100026	ASCENSION SACRED HEART BAY	129	22	14.57%	151
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	206	37	15.23%	243
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	65	21	24.42%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	48	1	2.04%	49
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	27	3	10.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	397	109	21.54%	506
BREVARD	100028	PARRISH MEDICAL CENTER	119	56	32.00%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	147	57	27.94%	204
BREVARD	100177	CAPE CANAVERAL HOSPITAL	84	56	40.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	66	0	0.00%	66
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	101	18	15.13%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	27	78	74.29%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	47	13	21.67%	60
BREVARD	23960092	VIERA HOSPITAL	61	23	27.38%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	42	21	33.33%	63
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	614	170	21.68%	784
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	404	29	6.70%	433
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	77	42	35.29%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	217	13	5.65%	230
BROWARD	100073	HOLY CROSS HOSPITAL	240	108	31.03%	348
BROWARD	100086	BROWARD HEALTH NORTH	255	0	0.00%	255
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	43	21	32.81%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	153	87	36.25%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	248	42	14.48%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	139	6	4.14%	145
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	187	14	6.97%	201
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	145	172	54.26%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	101	30	22.90%	131
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	221	29	11.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	163	9	5.23%	172
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	9	17	65.38%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	98	12	10.91%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	309	0	0.00%	309
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	42	8	16.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	186	13	6.53%	199
BROWARD	111527	MEMORIAL HOSPITAL WEST	433	34	7.28%	467
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	144	34	19.10%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	4	6	60.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	117	11	8.59%	128
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	186	50	21.19%	236
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	163	90	35.57%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	152	52	25.49%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	89	16	15.24%	105
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	65	8	10.96%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	305	44	12.61%	349
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	107	27	20.15%	134
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	305	18	5.57%	323
COLLIER	110043	WILLOUGH AT NAPLES, THE	51	36	41.38%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	239	34	12.45%	273
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	109	0	0.00%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	98	2	2.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	29	21	42.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	112	0	0.00%	112
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	21	37	63.79%	58
DUVAL	100001	UF HEALTH JACKSONVILLE	466	137	22.72%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	311	195	38.54%	506
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	436	48	9.92%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	98	52	34.67%	150
DUVAL	100151	MAYO CLINIC	259	45	14.80%	304
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	325	174	34.87%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	135	9	6.25%	144
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	27	2	6.90%	29
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	55	29	34.52%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	279	43	13.35%	322
DUVAL	23960061	WEKIVA SPRINGS	71	59	45.38%	130
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	134	86	39.09%	220
DUVAL	23960123	UF HEALTH NORTH	91	4	4.21%	95
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	158	28	15.05%	186
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	425	137	24.38%	562
ESCAMBIA	100093	BAPTIST HOSPITAL	344	89	20.55%	433
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	280	133	32.20%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	67	8	10.67%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	92	7	7.07%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	2	13	86.67%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	671	278	29.29%	949
GULF	23960084	ASCENSION SACRED HEART GULF	5	16	76.19%	21
