County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	5,049	1,153	18.59%	6,202	356	269	43.04%	625
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	217	43	16.54%	260	30	17	36.17%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	41	7	14.58%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	44	6	12.00%	50	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	20	0	0.00%	20	1	3	75.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	58	14	19.44%	72	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	12	0	0.00%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	24	7	22.58%	31	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	12	0	0.00%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	6	6	50.00%	12	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	2	10	83.33%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	4	4	50.00%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	15	5	25.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	54	19	26.03%	73	16	14	46.67%	30
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	50	0	0.00%	50	11	0	0.00%	11
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	5	3	37.50%	8	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	41	7	14.58%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	32	10	23.81%	42	4	8	66.67%	12
BROWARD	100086	BROWARD HEALTH NORTH	35	0	0.00%	35	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	5	3	37.50%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	18	2	10.00%	20	0	8	100.00%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	28	2	6.67%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	9	0	0.00%	9	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	36	0	0.00%	36	0	0		0
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	14	1	6.67%	15	0	0		0
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	0	0		0	0	0		0
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	35	0	0.00%	35	0	0		0
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	20	1	4.76%	21	0	0		0
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	0	0		0	0	0		0
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	0	0		0	0	0		0
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	0	0		0	0	0		0
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	0	0		0	0	0		0
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	21	1	4.55%	22	1	1	50.00%	2
BROWARD	111527	MEMORIAL HOSPITAL WEST	52	0	0.00%	52	0	0		0
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	26	0	0.00%	26	0	0		0
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	0	0		0	0	0		0
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	7	4	36.36%	11	0	0		0
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	23	6	20.69%	29	0	0		0
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	19	0	0.00%	19	0	0		0
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	17	7	29.17%	24	0	0		0
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	15	1	6.25%	16	0	0		0
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	5	0	0.00%	5	0	0		0
CLAY	100226	ORANGE PARK MEDICAL CENTER	28	0	0.00%	28	3	11	78.57%	14
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	6	2	25.00%	8	0	0		0
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	14	17	54.84%	31	0	0		0
COLLIER	110043	WILLOUGH AT NAPLES, THE	0	0		0	0	0		0
