County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	43,096	16,863	28.12%	59,959
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	792	254	24.28%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	425	110	20.56%	535
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	39	21	35.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	35	46	56.79%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	45	3	6.25%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	1	11	91.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	501	112	18.27%	613
BAY	100026	ASCENSION SACRED HEART BAY	107	41	27.70%	148
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	190	41	17.75%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	44	42	48.84%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	36	20	35.71%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	26	4	13.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	343	153	30.85%	496
BREVARD	100028	PARRISH MEDICAL CENTER	96	79	45.14%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	124	57	31.49%	181
BREVARD	100177	CAPE CANAVERAL HOSPITAL	56	84	60.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	56	4	6.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	80	35	30.43%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	29	76	72.38%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	59	25	29.76%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	16	28	63.64%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	523	276	34.54%	799
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	354	43	10.83%	397
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	79	40	33.61%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	190	40	17.39%	230
BROWARD	100073	HOLY CROSS HOSPITAL	202	146	41.95%	348
BROWARD	100086	BROWARD HEALTH NORTH	200	10	4.76%	210
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	36	38	51.35%	74
BROWARD	100167	PLANTATION GENERAL HOSPITAL	109	131	54.58%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	188	102	35.17%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	83	8	8.79%	91
