County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	47,155	14,847	23.95%	62,002
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	891	159	15.14%	1,050
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	446	54	10.80%	500
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	47	13	21.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	49	32	39.51%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	40	8	16.67%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	6	50.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	509	98	16.14%	607
BAY	100026	ASCENSION SACRED HEART BAY	121	27	18.24%	148
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	203	35	14.71%	238
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	56	30	34.88%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	40	16	28.57%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	21	9	30.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	405	91	18.35%	496
BREVARD	100028	PARRISH MEDICAL CENTER	103	73	41.48%	176
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	145	50	25.64%	195
BREVARD	100177	CAPE CANAVERAL HOSPITAL	84	56	40.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	50	10	16.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	81	34	29.57%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	35	70	66.67%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	43	17	28.33%	60
BREVARD	23960092	VIERA HOSPITAL	53	31	36.90%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	27	17	38.64%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	611	194	24.10%	805
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	357	43	10.75%	400
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	82	37	31.09%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	434	26	5.65%	460
BROWARD	100073	HOLY CROSS HOSPITAL	228	120	34.48%	348
BROWARD	100086	BROWARD HEALTH NORTH	203	6	2.87%	209
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	44	21	32.31%	65
BROWARD	100167	PLANTATION GENERAL HOSPITAL	116	124	51.67%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	203	87	30.00%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	112	7	5.88%	119
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	182	10	5.21%	192
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	152	165	52.05%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	92	27	22.69%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	186	64	25.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	149	3	1.97%	152
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	5	21	80.77%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	84	26	23.64%	110
