County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	5,066	1,067	17.40%	6,133	443	249	35.98%	692
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	252	8	3.08%	260	39	8	17.02%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	47	1	2.08%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	44	0	0.00%	44	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	17	3	15.00%	20	2	2	50.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	66	2	2.94%	68	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	6	6	50.00%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	20	11	35.48%	31	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	10	2	16.67%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	10	6	37.50%	16	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	4	8	66.67%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	6	2	25.00%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	17	3	15.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	51	22	30.14%	73	35	18	33.96%	53
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	51	0	0.00%	51	5	1	16.67%	6
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	6	3	33.33%	9	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	41	7	14.58%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	36	6	14.29%	42	2	10	83.33%	12
BROWARD	100086	BROWARD HEALTH NORTH	20	5	20.00%	25	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	7	1	12.50%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	11	9	45.00%	20	2	6	75.00%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	14	16	53.33%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	9	1	10.00%	10	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	29	7	19.44%	36	0	0		0
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	15	0	0.00%	15	0	0		0
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	0	0		0	0	0		0
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	29	3	9.38%	32	0	0		0
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	16	0	0.00%	16	0	0		0
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	0	0		0	0	0		0
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	0	0		0	0	0		0
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	0	0		0	0	0		0
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	0	0		0	0	0		0
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	14	2	12.50%	16	0	5	100.00%	5
