County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	50,454	12,369	19.69%	62,823
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	944	121	11.36%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	462	64	12.17%	526
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	52	8	13.33%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	62	19	23.46%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	41	7	14.58%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	5	7	58.33%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	472	141	23.00%	613
BAY	100026	ASCENSION SACRED HEART BAY	141	14	9.03%	155
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	206	29	12.34%	235
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	73	13	15.12%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	49	0	0.00%	49
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	28	2	6.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	455	51	10.08%	506
BREVARD	100028	PARRISH MEDICAL CENTER	105	70	40.00%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	131	57	30.32%	188
BREVARD	100177	CAPE CANAVERAL HOSPITAL	88	52	37.14%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	60	0	0.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	101	18	15.13%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	41	64	60.95%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	44	16	26.67%	60
BREVARD	23960092	VIERA HOSPITAL	73	11	13.10%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	37	37	50.00%	74
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	607	188	23.65%	795
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	403	26	6.06%	429
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	76	43	36.13%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	224	7	3.03%	231
BROWARD	100073	HOLY CROSS HOSPITAL	224	124	35.63%	348
BROWARD	100086	BROWARD HEALTH NORTH	244	7	2.79%	251
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	52	12	18.75%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	152	88	36.67%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	229	61	21.03%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	110	52	32.10%	162
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	192	11	5.42%	203
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	141	176	55.52%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	118	13	9.92%	131
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	218	32	12.80%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	150	8	5.06%	158
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	11	15	57.69%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	86	24	21.82%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	311	0	0.00%	311
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	33	17	34.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
