County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	49,201	13,474	21.50%	62,675
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	933	132	12.39%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	469	70	12.99%	539
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	45	15	25.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	66	15	18.52%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	40	8	16.67%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	1	11	91.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	484	129	21.04%	613
BAY	100026	ASCENSION SACRED HEART BAY	125	24	16.11%	149
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	197	36	15.45%	233
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	59	27	31.40%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	50	2	3.85%	52
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	26	4	13.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	427	85	16.60%	512
BREVARD	100028	PARRISH MEDICAL CENTER	102	73	41.71%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	127	57	30.98%	184
BREVARD	100177	CAPE CANAVERAL HOSPITAL	74	66	47.14%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	70	0	0.00%	70
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	110	5	4.35%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	53	52	49.52%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	41	19	31.67%	60
BREVARD	23960092	VIERA HOSPITAL	71	13	15.48%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	42	14	25.00%	56
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	601	286	32.24%	887
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	407	35	7.92%	442
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	81	38	31.93%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	210	20	8.70%	230
BROWARD	100073	HOLY CROSS HOSPITAL	220	128	36.78%	348
BROWARD	100086	BROWARD HEALTH NORTH	258	3	1.15%	261
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	50	14	21.88%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	134	106	44.17%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	223	67	23.10%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	118	3	2.48%	121
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	173	14	7.49%	187
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	156	161	50.79%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	121	10	7.63%	131
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	212	38	15.20%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	148	11	6.92%	159
