County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	48,216	13,670	22.09%	61,886
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	939	126	11.83%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	462	51	9.94%	513
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	55	5	8.33%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	69	12	14.81%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	42	6	12.50%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	5	7	58.33%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	483	130	21.21%	613
BAY	100026	ASCENSION SACRED HEART BAY	117	31	20.95%	148
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	208	36	14.75%	244
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	65	21	24.42%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	39	9	18.75%	48
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	28	2	6.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	404	105	20.63%	509
BREVARD	100028	PARRISH MEDICAL CENTER	117	59	33.52%	176
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	148	57	27.80%	205
BREVARD	100177	CAPE CANAVERAL HOSPITAL	77	63	45.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	65	0	0.00%	65
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	103	16	13.45%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	40	65	61.90%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	45	15	25.00%	60
BREVARD	23960092	VIERA HOSPITAL	65	19	22.62%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	26	18	40.91%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	588	199	25.29%	787
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	405	7	1.70%	412
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	83	36	30.25%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	206	24	10.43%	230
BROWARD	100073	HOLY CROSS HOSPITAL	218	130	37.36%	348
BROWARD	100086	BROWARD HEALTH NORTH	244	0	0.00%	244
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	104	24	18.75%	128
BROWARD	100167	PLANTATION GENERAL HOSPITAL	116	124	51.67%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	217	73	25.17%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	93	0	0.00%	93
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	183	19	9.41%	202
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	164	153	48.26%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	97	22	18.49%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	200	50	20.00%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	158	6	3.66%	164
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	16	10	38.46%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	77	33	30.00%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	312	0	0.00%	312
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	31	19	38.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	151	3	1.95%	154
BROWARD	111527	MEMORIAL HOSPITAL WEST	381	42	9.93%	423
