County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	47,864	14,160	22.83%	62,024
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	921	144	13.52%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	441	90	16.95%	531
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	51	9	15.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	58	33	36.26%	91
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	1	11	91.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	485	128	20.88%	613
BAY	100026	ASCENSION SACRED HEART BAY	117	30	20.41%	147
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	183	48	20.78%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	62	24	27.91%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	51	0	0.00%	51
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	28	2	6.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	413	79	16.06%	492
BREVARD	100028	PARRISH MEDICAL CENTER	112	62	35.63%	174
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	131	57	30.32%	188
BREVARD	100177	CAPE CANAVERAL HOSPITAL	82	58	41.43%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	70	0	0.00%	70
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	85	34	28.57%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	42	63	60.00%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	53	31	36.90%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	39	15	27.78%	54
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	591	201	25.38%	792
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	405	23	5.37%	428
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	79	40	33.61%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	210	20	8.70%	230
BROWARD	100073	HOLY CROSS HOSPITAL	247	101	29.02%	348
BROWARD	100086	BROWARD HEALTH NORTH	226	9	3.83%	235
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	53	11	17.19%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	132	110	45.45%	242
BROWARD	100189	NORTHWEST MEDICAL CENTER	204	87	29.90%	291
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	101	2	1.94%	103
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	185	13	6.57%	198
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	147	170	53.63%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	116	15	11.45%	131
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	202	48	19.20%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	145	9	5.84%	154
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	14	12	46.15%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	94	16	14.55%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	308	0	0.00%	308
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	32	18	36.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	188	10	5.05%	198
BROWARD	111527	MEMORIAL HOSPITAL WEST	429	29	6.33%	458
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	142	36	20.22%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	3	7	70.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	98	30	23.44%	128
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	178	55	23.61%	233
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	169	84	33.20%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	150	54	26.47%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	87	3	3.33%	90
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	62	11	15.07%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	319	33	9.38%	352
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	107	25	18.94%	132
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	302	17	5.33%	319
COLLIER	110043	WILLOUGH AT NAPLES, THE	56	31	35.63%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	239	37	13.41%	276
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	109	0	0.00%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	100	0	0.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	24	26	52.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	90	1	1.10%	91
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	22	36	62.07%	58
DUVAL	100001	UF HEALTH JACKSONVILLE	458	145	24.05%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	310	71	18.64%	381
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	411	73	15.08%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	95	55	36.67%	150
DUVAL	100151	MAYO CLINIC	308	5	1.60%	313
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	309	190	38.08%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	139	10	6.71%	149
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	25	2	7.41%	27
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	48	36	42.86%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	258	64	19.88%	322
DUVAL	23960061	WEKIVA SPRINGS	56	59	51.30%	115
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	118	31	20.81%	149
DUVAL	23960123	UF HEALTH NORTH	77	15	16.30%	92
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	159	29	15.43%	188
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	447	95	17.53%	542
ESCAMBIA	100093	BAPTIST HOSPITAL	320	113	26.10%	433
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	255	158	38.26%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	69	6	8.00%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	89	10	10.10%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	1	12	92.31%	13
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	671	278	29.29%	949
GULF	23960084	ASCENSION SACRED HEART GULF	6	15	71.43%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	22	1	4.35%	23
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	4	25	86.21%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	56	58	50.88%	114
HERNANDO	100264	OAK HILL HOSPITAL	278	66	19.19%	344
HERNANDO	110054	SPRINGBROOK HOSPITAL	63	0	0.00%	63
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	49	75	60.48%	124
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	66	14	17.50%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	49	16	24.62%	65
HIGHLANDS	100109	ADVENTHEALTH SEBRING	178	5	2.73%	183
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	16	4	20.00%	20
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	98	14	12.50%	112
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	522	209	28.59%	731
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	47	22	31.88%	69
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	875	168	16.11%	1,043
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	86	27	23.89%	113
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	70	19	21.35%	89
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	449	96	17.61%	545
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	92	22	19.30%	114
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	351	141	28.66%	492
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	29	2	6.45%	31
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	96	56	36.84%	152
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	36	14.17%	254
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	96	37	27.82%	133
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	157	25	13.74%	182
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	54	6	10.00%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	14	6	30.00%	20
