County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	5,091	1,035	16.90%	6,126	408	264	39.29%	672
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	235	25	9.62%	260	35	12	25.53%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	43	5	10.42%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	39	0	0.00%	39	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	16	4	20.00%	20	4	0	0.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	57	1	1.72%	58	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	9	3	25.00%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	27	8	22.86%	35	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	9	3	25.00%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	6	4	40.00%	10	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	5	7	58.33%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	7	1	12.50%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	19	1	5.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	52	21	28.77%	73	35	19	35.19%	54
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	42	0	0.00%	42	6	0	0.00%	6
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	5	3	37.50%	8	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	40	8	16.67%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	35	7	16.67%	42	2	10	83.33%	12
BROWARD	100086	BROWARD HEALTH NORTH	22	2	8.33%	24	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	6	2	25.00%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	13	7	35.00%	20	5	3	37.50%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	22	8	26.67%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	7	1	12.50%	8	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	31	5	13.89%	36	0	0		0
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	12	3	20.00%	15	0	0		0
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	0	0		0	0	0		0
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	30	2	6.25%	32	0	0		0
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	16	1	5.88%	17	0	0		0
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	0	0		0	0	0		0
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	0	0		0	0	0		0
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	0	0		0	0	0		0
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	0	0		0	0	0		0
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	15	0	0.00%	15	2	9	81.82%	11
BROWARD	111527	MEMORIAL HOSPITAL WEST	25	0	0.00%	25	0	0		0
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	15	5	25.00%	20	0	0		0
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	0	0		0	0	0		0
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	13	0	0.00%	13	0	0		0
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	19	2	9.52%	21	0	0		0
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	17	2	10.53%	19	0	0		0
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	22	2	8.33%	24	0	0		0
