County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,477	15,187	24.63%	61,664
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	873	173	16.54%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	444	48	9.76%	492
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	53	7	11.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	57	24	29.63%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	46	2	4.17%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	8	57.14%	14
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	481	132	21.53%	613
BAY	100026	ASCENSION SACRED HEART BAY	130	21	13.91%	151
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	199	33	14.22%	232
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	63	23	26.74%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	46	2	4.17%	48
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	20	10	33.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	423	84	16.57%	507
BREVARD	100028	PARRISH MEDICAL CENTER	105	72	40.68%	177
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	127	63	33.16%	190
BREVARD	100177	CAPE CANAVERAL HOSPITAL	108	32	22.86%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	59	1	1.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	97	18	15.65%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	43	62	59.05%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	40	20	33.33%	60
BREVARD	23960092	VIERA HOSPITAL	72	10	12.20%	82
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	35	9	20.45%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	685	149	17.87%	834
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	361	45	11.08%	406
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	71	48	40.34%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	221	9	3.91%	230
BROWARD	100073	HOLY CROSS HOSPITAL	233	115	33.05%	348
BROWARD	100086	BROWARD HEALTH NORTH	215	8	3.59%	223
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	37	27	42.19%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	120	144	54.55%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	208	87	29.49%	295
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	122	5	3.94%	127
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	175	16	8.38%	191
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	163	154	48.58%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	110	9	7.56%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	190	60	24.00%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	104	17	14.05%	121
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	11	15	57.69%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	93	17	15.45%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	292	0	0.00%	292
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	44	6	12.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	5	5.15%	97
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	149	18	10.78%	167
BROWARD	111527	MEMORIAL HOSPITAL WEST	365	34	8.52%	399
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	125	53	29.78%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	7	3	30.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	89	41	31.54%	130
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	175	58	24.89%	233
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	173	80	31.62%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	147	57	27.94%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	77	13	14.44%	90
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	46	27	36.99%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	327	32	8.91%	359
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	97	29	23.02%	126
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	249	49	16.44%	298
