County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,141	14,690	24.15%	60,831
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	902	154	14.58%	1,056
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	401	75	15.76%	476
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	48	12	20.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	56	25	30.86%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	48	0	0.00%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	6	50.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	480	133	21.70%	613
BAY	100026	ASCENSION SACRED HEART BAY	127	23	15.33%	150
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	196	33	14.41%	229
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	67	19	22.09%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	38	17	30.91%	55
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	14	16	53.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	413	93	18.38%	506
BREVARD	100028	PARRISH MEDICAL CENTER	86	89	50.86%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	125	44	26.04%	169
BREVARD	100177	CAPE CANAVERAL HOSPITAL	87	53	37.86%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	26	0	0.00%	26
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	88	27	23.48%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	44	61	58.10%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	52	8	13.33%	60
BREVARD	23960092	VIERA HOSPITAL	69	15	17.86%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	26	18	40.91%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	586	119	16.88%	705
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	393	17	4.15%	410
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	81	38	31.93%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	217	13	5.65%	230
BROWARD	100073	HOLY CROSS HOSPITAL	179	169	48.56%	348
BROWARD	100086	BROWARD HEALTH NORTH	245	1	0.41%	246
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	37	27	42.19%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	150	114	43.18%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	196	97	33.11%	293
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	106	4	3.64%	110
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	153	37	19.47%	190
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	178	139	43.85%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	73	25	25.51%	98
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	199	51	20.40%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	166	18	9.78%	184
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	7	19	73.08%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	90	20	18.18%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	281	0	0.00%	281
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	27	13	32.50%	40
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	144	20	12.20%	164
BROWARD	111527	MEMORIAL HOSPITAL WEST	363	35	8.79%	398
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	140	38	21.35%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	5	5	50.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	171	59	25.65%	230
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	158	74	31.90%	232
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	157	96	37.94%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	151	53	25.98%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	78	9	10.34%	87
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	44	29	39.73%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	328	26	7.34%	354
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	108	13	10.74%	121
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	212	45	17.51%	257
COLLIER	110043	WILLOUGH AT NAPLES, THE	75	4	5.06%	79
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	212	49	18.77%	261
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	101	8	7.34%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	64	36	36.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	21	29	58.00%	50
COLUMBIA	100102	SHANDS LAKE SHORE REGIONAL MEDICAL CENTER	8	6	42.86%	14
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	98	0	0.00%	98
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	21	27	56.25%	48
DUVAL	100001	UF HEALTH JACKSONVILLE	484	119	19.73%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	300	212	41.41%	512
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	452	38	7.76%	490
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	101	34	25.19%	135
DUVAL	100151	MAYO CLINIC	269	35	11.51%	304
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	320	179	35.87%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	137	2	1.44%	139
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	18	4	18.18%	22
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	64	20	23.81%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	238	68	22.22%	306
DUVAL	23960061	WEKIVA SPRINGS	76	53	41.09%	129
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	126	117	48.15%	243
DUVAL	23960123	UF HEALTH NORTH	85	7	7.61%	92
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	152	55	26.57%	207
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	404	154	27.60%	558
ESCAMBIA	100093	BAPTIST HOSPITAL	290	136	31.92%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	273	157	36.51%	430
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	63	12	16.00%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	68	28	29.17%	96
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	0	15	100.00%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	759	190	20.02%	949
GULF	23960084	ASCENSION SACRED HEART GULF	3	18	85.71%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	24	1	4.00%	25
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	11	18	62.07%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	70	40	36.36%	110
HERNANDO	100264	OAK HILL HOSPITAL	278	72	20.57%	350
HERNANDO	110054	SPRINGBROOK HOSPITAL	63	0	0.00%	63
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	52	75	59.06%	127
