County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	49,286	12,607	20.37%	61,893
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	904	142	13.58%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	475	46	8.83%	521
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	50	10	16.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	44	37	45.68%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	9	3	25.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	501	112	18.27%	613
BAY	100026	ASCENSION SACRED HEART BAY	125	13	9.42%	138
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	231	28	10.81%	259
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	56	30	34.88%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	38	18	32.14%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	26	4	13.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	437	76	14.81%	513
BREVARD	100028	PARRISH MEDICAL CENTER	97	82	45.81%	179
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	143	50	25.91%	193
BREVARD	100177	CAPE CANAVERAL HOSPITAL	87	53	37.86%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	56	4	6.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	77	36	31.86%	113
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	37	68	64.76%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	37	23	38.33%	60
BREVARD	23960092	VIERA HOSPITAL	77	7	8.33%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	34	10	22.73%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	623	176	22.03%	799
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	393	28	6.65%	421
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	81	38	31.93%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	215	15	6.52%	230
BROWARD	100073	HOLY CROSS HOSPITAL	266	82	23.56%	348
BROWARD	100086	BROWARD HEALTH NORTH	224	8	3.45%	232
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	35	29	45.31%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	149	91	37.92%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	233	61	20.75%	294
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	126	2	1.56%	128
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	190	9	4.52%	199
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	178	139	43.85%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	74	45	37.82%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	233	17	6.80%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	145	10	6.45%	155
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	9	17	65.38%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	96	14	12.73%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	304	0	0.00%	304
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	28	22	44.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	2	2.13%	94
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	193	14	6.76%	207
BROWARD	111527	MEMORIAL HOSPITAL WEST	386	39	9.18%	425
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	134	44	24.72%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	9	1	10.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	108	21	16.28%	129
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	178	76	29.92%	254
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	189	64	25.30%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	169	44	20.66%	213
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	86	8	8.51%	94
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	58	15	20.55%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	336	39	10.40%	375
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	110	24	17.91%	134
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	246	47	16.04%	293
COLLIER	110043	WILLOUGH AT NAPLES, THE	55	32	36.78%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	240	30	11.11%	270
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	109	0	0.00%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	94	6	6.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	21	29	58.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	99	0	0.00%	99
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	41	17	29.31%	58
DUVAL	100001	UF HEALTH JACKSONVILLE	517	86	14.26%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	316	196	38.28%	512
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	435	49	10.12%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	117	33	22.00%	150
DUVAL	100151	MAYO CLINIC	311	6	1.89%	317
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	334	165	33.07%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	133	7	5.00%	140
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	27	2	6.90%	29
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	55	29	34.52%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	270	52	16.15%	322
DUVAL	23960061	WEKIVA SPRINGS	58	59	50.43%	117
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	131	78	37.32%	209
DUVAL	23960123	UF HEALTH NORTH	97	3	3.00%	100
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	145	53	26.77%	198
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	389	163	29.53%	552
ESCAMBIA	100093	BAPTIST HOSPITAL	338	88	20.66%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	301	112	27.12%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	66	9	12.00%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	78	21	21.21%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	1	14	93.33%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	570	379	39.94%	949
GULF	23960084	ASCENSION SACRED HEART GULF	9	12	57.14%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	24	0	0.00%	24
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	15	14	48.28%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	63	47	42.73%	110
HERNANDO	100264	OAK HILL HOSPITAL	302	50	14.20%	352
HERNANDO	110054	SPRINGBROOK HOSPITAL	77	0	0.00%	77
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	69	55	44.35%	124
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	66	16	19.51%	82
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	38	27	41.54%	65
HIGHLANDS	100109	ADVENTHEALTH SEBRING	165	12	6.78%	177
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	17	14	45.16%	31
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	111	7	5.93%	118
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	595	136	18.60%	731
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	56	17	23.29%	73
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	928	156	14.39%	1,084
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	106	7	6.19%	113
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	79	12	13.19%	91
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	474	62	11.57%	536
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	116	16	12.12%	132
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	379	122	24.35%	501
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	28	3	9.68%	31
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	108	19	14.96%	127
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	21	8.79%	239
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	90	43	32.33%	133
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	157	28	15.14%	185
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	60	0	0.00%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	14	6	30.00%	20
INDIAN RIVER	100105	CLEVELAND CLINIC INDIAN RIVER HOSPITAL	203	108	34.73%	311
INDIAN RIVER	100217	STEWARD SEBASTIAN RIVER MEDICAL CENTER	79	3	3.66%	82
INDIAN RIVER	110017	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST	52	13	20.00%	65
JACKSON	100138	CAMPBELLTON-GRACEVILLE HOSPITAL	0	0		0
JACKSON	100142	JACKSON HOSPITAL	35	60	63.16%	95
LAKE	100051	ORLANDO HEALTH SOUTH LAKE HOSPITAL	193	20	9.39%	213
LAKE	100057	ADVENTHEALTH WATERMAN	190	110	36.67%	300
LAKE	100084	UF HEALTH LEESBURG HOSPITAL INC	278	52	15.76%	330
LAKE	100214	UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER	8	13	61.90%	21
LAKE	104018	LIFESTREAM BEHAVIORAL CENTER	36	10	21.74%	46
LEE	100012	LEE MEMORIAL HOSPITAL	292	29	9.03%	321
LEE	100107	LEHIGH REGIONAL MEDICAL CENTER	34	10	22.73%	44
