County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	4,990	1,195	19.32%	6,185	405	258	38.91%	663
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	245	15	5.77%	260	40	7	14.89%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	40	8	16.67%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	30	14	31.82%	44	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	18	2	10.00%	20	2	2	50.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	58	10	14.71%	68	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	12	0	0.00%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	28	11	28.21%	39	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	11	1	8.33%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	11	5	31.25%	16	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	6	6	50.00%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	4	4	50.00%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	19	1	5.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	57	10	14.93%	67	34	20	37.04%	54
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	51	0	0.00%	51	8	0	0.00%	8
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	8	1	11.11%	9	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	39	9	18.75%	48	0	0		0
