County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,985	13,887	22.81%	60,872
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	884	162	15.49%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	420	65	13.40%	485
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	48	12	20.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	45	20	30.77%	65
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	48	0	0.00%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	6	50.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	485	128	20.88%	613
BAY	100026	ASCENSION SACRED HEART BAY	117	30	20.41%	147
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	215	32	12.96%	247
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	64	22	25.58%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	74	38	33.93%	112
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	15	15	50.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	435	71	14.03%	506
BREVARD	100028	PARRISH MEDICAL CENTER	113	65	36.52%	178
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	151	37	19.68%	188
BREVARD	100177	CAPE CANAVERAL HOSPITAL	83	57	40.71%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	40	0	0.00%	40
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	91	24	20.87%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	41	64	60.95%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	53	7	11.67%	60
BREVARD	23960092	VIERA HOSPITAL	74	10	11.90%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	23	21	47.73%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	681	96	12.36%	777
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	392	21	5.08%	413
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	80	39	32.77%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	226	4	1.74%	230
BROWARD	100073	HOLY CROSS HOSPITAL	206	142	40.80%	348
BROWARD	100086	BROWARD HEALTH NORTH	240	2	0.83%	242
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	37	27	42.19%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	134	130	49.24%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	212	81	27.65%	293
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	125	28	18.30%	153
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	166	27	13.99%	193
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	181	136	42.90%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	51	48	48.48%	99
