County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	4,844	1,252	20.54%	6,096	453	207	31.36%	660
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	236	24	9.23%	260	46	1	2.13%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	43	5	10.42%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	34	10	22.73%	44	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	14	6	30.00%	20	2	2	50.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	53	5	8.62%	58	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	8	4	33.33%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	20	11	35.48%	31	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	9	3	25.00%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	10	6	37.50%	16	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	5	7	58.33%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	4	4	50.00%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	19	1	5.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	62	11	15.07%	73	39	15	27.78%	54
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	45	0	0.00%	45	10	0	0.00%	10
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	1	8	88.89%	9	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	38	10	20.83%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	27	15	35.71%	42	0	0		0
BROWARD	100086	BROWARD HEALTH NORTH	21	1	4.55%	22	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	6	2	25.00%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	12	8	40.00%	20	7	1	12.50%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	14	16	53.33%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	10	0	0.00%	10	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	29	7	19.44%	36	0	0		0
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	15	0	0.00%	15	0	0		0
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	0	0		0	0	0		0
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	28	4	12.50%	32	0	0		0
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	11	3	21.43%	14	0	0		0
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	0	0		0	0	0		0
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	0	0		0	0	0		0
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	0	0		0	0	0		0
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	0	0		0	0	0		0
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	14	2	12.50%	16	0	0		0
BROWARD	111527	MEMORIAL HOSPITAL WEST	30	0	0.00%	30	0	0		0
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	15	1	6.25%	16	0	0		0
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	0	0		0	0	0		0
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	7	5	41.67%	12	0	0		0
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	17	4	19.05%	21	0	0		0
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	17	2	10.53%	19	0	0		0
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	20	4	16.67%	24	0	0		0
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	15	0	0.00%	15	0	0		0
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	6	0	0.00%	6	0	0		0
CLAY	100226	ORANGE PARK MEDICAL CENTER	14	14	50.00%	28	2	2	50.00%	4
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	5	11	68.75%	16	0	0		0
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	25	6	19.35%	31	0	0		0
COLLIER	110043	WILLOUGH AT NAPLES, THE	0	0		0	0	0		0
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	9	7	43.75%	16	0	0		0
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	16	0	0.00%	16	0	0		0
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	11	1	8.33%	12	0	0		0
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	6	4	40.00%	10	0	0		0
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	10	0	0.00%	10	0	0		0
