County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	44,855	14,322	24.20%	59,177
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	800	246	23.52%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	348	76	17.92%	424
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	43	7	14.00%	50
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	61	20	24.69%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	36	12	25.00%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	8	57.14%	14
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	519	94	15.33%	613
BAY	100026	ASCENSION SACRED HEART BAY	113	54	32.34%	167
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	176	55	23.81%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	51	35	40.70%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	47	14	22.95%	61
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	375	140	27.18%	515
BREVARD	100028	PARRISH MEDICAL CENTER	79	68	46.26%	147
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	131	47	26.40%	178
BREVARD	100177	CAPE CANAVERAL HOSPITAL	56	84	60.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	56	9	13.85%	65
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	95	20	17.39%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	37	26	41.27%	63
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	33	27	45.00%	60
BREVARD	23960092	VIERA HOSPITAL	57	27	32.14%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	17	27	61.36%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	698	163	18.93%	861
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	412	48	10.43%	460
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	72	39	35.14%	111
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	195	35	15.22%	230
BROWARD	100073	HOLY CROSS HOSPITAL	212	136	39.08%	348
BROWARD	100086	BROWARD HEALTH NORTH	240	3	1.23%	243
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	40	14	25.93%	54
BROWARD	100167	PLANTATION GENERAL HOSPITAL	146	118	44.70%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	186	99	34.74%	285
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	103	12	10.43%	115
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	188	18	8.74%	206
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	162	155	48.90%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	92	27	22.69%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	211	39	15.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	131	28	17.61%	159
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	8	18	69.23%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	74	36	32.73%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	300	0	0.00%	300
