County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	50,155	12,903	20.46%	63,058
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	917	148	13.90%	1,065
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	481	62	11.42%	543
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	54	6	10.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	62	17	21.52%	79
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	41	7	14.58%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	4	8	66.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	475	138	22.51%	613
BAY	100026	ASCENSION SACRED HEART BAY	115	33	22.30%	148
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	201	32	13.73%	233
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	70	16	18.60%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	45	4	8.16%	49
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	27	3	10.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	439	67	13.24%	506
BREVARD	100028	PARRISH MEDICAL CENTER	102	74	42.05%	176
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	131	57	30.32%	188
BREVARD	100177	CAPE CANAVERAL HOSPITAL	88	52	37.14%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	59	1	1.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	108	11	9.24%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	37	68	64.76%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	71	8	10.13%	79
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	47	27	36.49%	74
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	634	154	19.54%	788
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	424	30	6.61%	454
