County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,242	14,571	23.96%	60,813
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	861	185	17.69%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	346	78	18.40%	424
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	41	9	18.00%	50
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	63	21	25.00%	84
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	3	9	75.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	108	505	82.38%	613
BAY	100026	ASCENSION SACRED HEART BAY	126	40	24.10%	166
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	185	57	23.55%	242
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	61	25	29.07%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	42	14	25.00%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	2	28	93.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	405	101	19.96%	506
BREVARD	100028	PARRISH MEDICAL CENTER	120	34	22.08%	154
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	136	39	22.29%	175
BREVARD	100177	CAPE CANAVERAL HOSPITAL	63	77	55.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	59	2	3.28%	61
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	85	30	26.09%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	41	64	60.95%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	62	22	26.19%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	25	19	43.18%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	600	147	19.68%	747
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	407	38	8.54%	445
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	81	38	31.93%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	197	33	14.35%	230
BROWARD	100073	HOLY CROSS HOSPITAL	220	128	36.78%	348
BROWARD	100086	BROWARD HEALTH NORTH	241	14	5.49%	255
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	42	12	22.22%	54
BROWARD	100167	PLANTATION GENERAL HOSPITAL	153	111	42.05%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	201	84	29.47%	285
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	101	12	10.62%	113
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	164	41	20.00%	205
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	175	142	44.79%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	102	17	14.29%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	201	49	19.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	159	15	8.62%	174
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	12	14	53.85%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	73	37	33.64%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	300	0	0.00%	300
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	31	9	22.50%	40
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	3	3.16%	95
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	156	8	4.88%	164
BROWARD	111527	MEMORIAL HOSPITAL WEST	422	30	6.64%	452
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	190	27	12.44%	217
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	6	4	40.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	135	101	42.80%	236
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	179	43	19.37%	222
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	136	117	46.25%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	144	60	29.41%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	84	36	30.00%	120
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	36	23	38.98%	59
CLAY	100226	ORANGE PARK MEDICAL CENTER	337	39	10.37%	376
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	84	22	20.75%	106
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	267	28	9.49%	295
COLLIER	110043	WILLOUGH AT NAPLES, THE	48	36	42.86%	84
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	229	43	15.81%	272
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	103	2	1.90%	105
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	70	30	30.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	31	20	39.22%	51
COLUMBIA	100102	SHANDS LAKE SHORE REGIONAL MEDICAL CENTER	13	17	56.67%	30
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	83	8	8.79%	91
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	28	27	49.09%	55
DUVAL	100001	UF HEALTH JACKSONVILLE	469	134	22.22%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	364	153	29.59%	517
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	496	71	12.52%	567
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	127	75	37.13%	202
DUVAL	100151	MAYO CLINIC	282	23	7.54%	305
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	319	180	36.07%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	129	10	7.19%	139
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	20	2	9.09%	22
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	44	40	47.62%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	275	74	21.20%	349
DUVAL	23960061	WEKIVA SPRINGS	66	53	44.54%	119
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	131	114	46.53%	245
DUVAL	23960123	UF HEALTH NORTH	92	1	1.08%	93
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	154	58	27.36%	212
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	399	94	19.07%	493
ESCAMBIA	100093	BAPTIST HOSPITAL	287	93	24.47%	380
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	277	136	32.93%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	72	3	4.00%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	80	19	19.19%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	0	15	100.00%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	0		0
GADSDEN	104000	FLORIDA STATE HOSPITAL	0	0		0
GULF	23960084	ASCENSION SACRED HEART GULF	6	15	71.43%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	21	4	16.00%	25
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	14	15	51.72%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	76	44	36.67%	120
HERNANDO	100264	OAK HILL HOSPITAL	279	71	20.29%	350
HERNANDO	110054	SPRINGBROOK HOSPITAL	62	0	0.00%	62
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	60	64	51.61%	124
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	63	17	21.25%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	50	12	19.35%	62
HIGHLANDS	100109	ADVENTHEALTH SEBRING	136	35	20.47%	171
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	12	6	33.33%	18
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	81	7	7.95%	88
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	596	58	8.87%	654
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	57	20	25.97%	77
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	799	238	22.95%	1,037
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	99	4	3.88%	103
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	72	27	27.27%	99
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	407	129	24.07%	536
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	86	8	8.51%	94
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	337	132	28.14%	469
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	30	22	42.31%	52
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	62	76	55.07%	138
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	30	12.10%	248
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	98	29	22.83%	127
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	139	9	6.08%	148
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	59	1	1.67%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	14	6	30.00%	20
INDIAN RIVER	100105	CLEVELAND CLINIC INDIAN RIVER HOSPITAL	218	101	31.66%	319
