County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	45,121	16,091	26.29%	61,212
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	843	201	19.25%	1,044
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	422	46	9.83%	468
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	54	6	10.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	57	24	29.63%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	46	2	4.17%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	7	7	50.00%	14
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	481	132	21.53%	613
BAY	100026	ASCENSION SACRED HEART BAY	128	21	14.09%	149
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	180	51	22.08%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	62	24	27.91%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	46	2	4.17%	48
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	20	10	33.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	423	80	15.90%	503
BREVARD	100028	PARRISH MEDICAL CENTER	105	72	40.68%	177
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	127	63	33.16%	190
BREVARD	100177	CAPE CANAVERAL HOSPITAL	107	33	23.57%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	60	0	0.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	93	22	19.13%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	49	56	53.33%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	40	20	33.33%	60
BREVARD	23960092	VIERA HOSPITAL	55	27	32.93%	82
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	29	15	34.09%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	676	158	18.94%	834
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	345	31	8.24%	376
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	69	50	42.02%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	215	15	6.52%	230
BROWARD	100073	HOLY CROSS HOSPITAL	235	113	32.47%	348
BROWARD	100086	BROWARD HEALTH NORTH	188	8	4.08%	196
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	36	28	43.75%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	119	145	54.92%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	197	97	32.99%	294
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	114	0	0.00%	114
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	168	22	11.58%	190
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	165	152	47.95%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	109	10	8.40%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	190	60	24.00%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	96	21	17.95%	117
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	11	15	57.69%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	85	25	22.73%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	292	0	0.00%	292
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	46	4	8.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	5	5.15%	97
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	147	5	3.29%	152
BROWARD	111527	MEMORIAL HOSPITAL WEST	341	41	10.73%	382
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	116	62	34.83%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	6	4	40.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	95	35	26.92%	130
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	170	58	25.44%	228
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	161	92	36.36%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	132	72	35.29%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	80	13	13.98%	93
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	45	28	38.36%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	318	40	11.17%	358
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	116	27	18.88%	143
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	234	22	8.59%	256
COLLIER	110043	WILLOUGH AT NAPLES, THE	76	6	7.32%	82
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	189	38	16.74%	227
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	18	10	35.71%	28
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	53	57	51.82%	110
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	27	23	46.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	95	0	0.00%	95
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	18	37	67.27%	55
DUVAL	100001	UF HEALTH JACKSONVILLE	471	132	21.89%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	274	119	30.28%	393
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	391	65	14.25%	456
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	78	72	48.00%	150
DUVAL	100151	MAYO CLINIC	317	5	1.55%	322
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	320	179	35.87%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	139	4	2.80%	143
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	20	2	9.09%	22
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	67	17	20.24%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	239	62	20.60%	301
DUVAL	23960061	WEKIVA SPRINGS	76	59	43.70%	135
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	129	113	46.69%	242
DUVAL	23960123	UF HEALTH NORTH	85	7	7.61%	92
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	145	53	26.77%	198
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	377	165	30.44%	542
ESCAMBIA	100093	BAPTIST HOSPITAL	326	100	23.47%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	300	128	29.91%	428
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	68	7	9.33%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	82	17	17.17%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	0	15	100.00%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	630	319	33.61%	949
GULF	23960084	ASCENSION SACRED HEART GULF	5	16	76.19%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	25	0	0.00%	25
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	8	21	72.41%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	54	56	50.91%	110
HERNANDO	100264	OAK HILL HOSPITAL	252	98	28.00%	350
HERNANDO	110054	SPRINGBROOK HOSPITAL	76	0	0.00%	76
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	54	61	53.04%	115
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	67	13	16.25%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	47	17	26.56%	64
HIGHLANDS	100109	ADVENTHEALTH SEBRING	144	27	15.79%	171
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	16	5	23.81%	21
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	92	7	7.07%	99
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	531	95	15.18%	626
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	58	11	15.94%	69
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	877	130	12.91%	1,007
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	83	9	9.78%	92
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	69	18	20.69%	87
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	423	111	20.79%	534
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	99	7	6.60%	106
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	372	135	26.63%	507
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	31	2	6.06%	33
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	63	13	17.11%	76
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	24	9.92%	242
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	92	12	11.54%	104
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	117	25	17.61%	142
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	59	1	1.67%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	12	8	40.00%	20
INDIAN RIVER	100105	CLEVELAND CLINIC INDIAN RIVER HOSPITAL	182	128	41.29%	310
INDIAN RIVER	100217	STEWARD SEBASTIAN RIVER MEDICAL CENTER	63	23	26.74%	86
INDIAN RIVER	110017	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST	58	7	10.77%	65
JACKSON	100138	CAMPBELLTON-GRACEVILLE HOSPITAL	0	0		0
JACKSON	100142	JACKSON HOSPITAL	36	50	58.14%	86
LAKE	100051	ORLANDO HEALTH SOUTH LAKE HOSPITAL	205	11	5.09%	216
