County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	4,592	1,493	24.54%	6,085	411	242	37.06%	653
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	221	39	15.00%	260	35	12	25.53%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	41	7	14.58%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	34	10	22.73%	44	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	24	0	0.00%	24	2	2	50.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	52	6	10.34%	58	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	7	5	41.67%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	26	8	23.53%	34	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	10	2	16.67%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	12	0	0.00%	12	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	3	9	75.00%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	7	1	12.50%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	18	2	10.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	52	21	28.77%	73	40	9	18.37%	49
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	43	0	0.00%	43	6	0	0.00%	6
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	5	3	37.50%	8	0	0		0
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	41	7	14.58%	48	0	0		0
BROWARD	100073	HOLY CROSS HOSPITAL	30	12	28.57%	42	4	8	66.67%	12
BROWARD	100086	BROWARD HEALTH NORTH	23	2	8.00%	25	0	0		0
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	7	1	12.50%	8	0	0		0
BROWARD	100167	PLANTATION GENERAL HOSPITAL	13	7	35.00%	20	3	5	62.50%	8
BROWARD	100189	NORTHWEST MEDICAL CENTER	15	15	50.00%	30	0	0		0
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	8	0	0.00%	8	0	0		0
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	23	13	36.11%	36	0	0		0
