County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	50,262	12,203	19.54%	62,465
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	935	129	12.12%	1,064
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	446	45	9.16%	491
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	56	4	6.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	65	17	20.73%	82
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	2	10	83.33%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	479	134	21.86%	613
BAY	100026	ASCENSION SACRED HEART BAY	123	25	16.89%	148
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	213	36	14.46%	249
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	60	26	30.23%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	42	6	12.50%	48
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	27	3	10.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	428	83	16.24%	511
BREVARD	100028	PARRISH MEDICAL CENTER	123	51	29.31%	174
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	144	57	28.36%	201
BREVARD	100177	CAPE CANAVERAL HOSPITAL	84	54	39.13%	138
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	63	0	0.00%	63
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	102	17	14.29%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	40	65	61.90%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	44	16	26.67%	60
BREVARD	23960092	VIERA HOSPITAL	76	8	9.52%	84
