County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	48,083	13,575	22.02%	61,658
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	889	157	15.01%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	441	61	12.15%	502
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	48	12	20.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	51	30	37.04%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	41	7	14.58%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	6	6	50.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	510	98	16.12%	608
BAY	100026	ASCENSION SACRED HEART BAY	120	21	14.89%	141
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	224	32	12.50%	256
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	60	26	30.23%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	43	13	23.21%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	22	8	26.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	418	84	16.73%	502
BREVARD	100028	PARRISH MEDICAL CENTER	109	67	38.07%	176
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	144	50	25.77%	194
BREVARD	100177	CAPE CANAVERAL HOSPITAL	82	58	41.43%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	47	13	21.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	88	27	23.48%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	46	59	56.19%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	55	29	34.52%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	27	17	38.64%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	626	158	20.15%	784
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	373	46	10.98%	419
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	83	36	30.25%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	440	20	4.35%	460
BROWARD	100073	HOLY CROSS HOSPITAL	227	121	34.77%	348
BROWARD	100086	BROWARD HEALTH NORTH	202	7	3.35%	209
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	41	23	35.94%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	135	105	43.75%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	213	77	26.55%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	117	3	2.50%	120
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	167	21	11.17%	188
