County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,050	15,491	25.17%	61,541
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	834	211	20.19%	1,045
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	442	52	10.53%	494
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	43	17	28.33%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	48	33	40.74%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	48	0	0.00%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	4	8	66.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	494	119	19.41%	613
BAY	100026	ASCENSION SACRED HEART BAY	118	19	13.87%	137
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	213	32	13.06%	245
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	59	28	32.18%	87
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	45	11	19.64%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	20	10	33.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	437	62	12.42%	499
BREVARD	100028	PARRISH MEDICAL CENTER	103	72	41.14%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	140	64	31.37%	204
BREVARD	100177	CAPE CANAVERAL HOSPITAL	84	56	40.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	60	0	0.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	83	32	27.83%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	38	67	63.81%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	45	15	25.00%	60
BREVARD	23960092	VIERA HOSPITAL	68	16	19.05%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	18	26	59.09%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	589	181	23.51%	770
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	373	44	10.55%	417
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	77	42	35.29%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	210	20	8.70%	230
BROWARD	100073	HOLY CROSS HOSPITAL	220	128	36.78%	348
BROWARD	100086	BROWARD HEALTH NORTH	229	9	3.78%	238
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	47	16	25.40%	63
BROWARD	100167	PLANTATION GENERAL HOSPITAL	127	113	47.08%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	201	89	30.69%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	110	1	0.90%	111
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	166	28	14.43%	194
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	144	173	54.57%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	98	21	17.65%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	204	46	18.40%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	126	12	8.70%	138
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	12	14	53.85%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	92	18	16.36%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	307	0	0.00%	307
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	30	20	40.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	174	3	1.69%	177
BROWARD	111527	MEMORIAL HOSPITAL WEST	394	35	8.16%	429
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	126	52	29.21%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	6	4	40.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	99	28	22.05%	127
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	143	100	41.15%	243
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	192	61	24.11%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	138	66	32.35%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	89	15	14.42%	104
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	54	19	26.03%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	326	27	7.65%	353
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	100	26	20.63%	126
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	246	27	9.89%	273
COLLIER	110043	WILLOUGH AT NAPLES, THE	53	34	39.08%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	202	34	14.41%	236
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	107	2	1.83%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	70	30	30.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	24	26	52.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	97	0	0.00%	97
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	20	35	63.64%	55
DUVAL	100001	UF HEALTH JACKSONVILLE	482	121	20.07%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	274	238	46.48%	512
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	423	61	12.60%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	91	59	39.33%	150
DUVAL	100151	MAYO CLINIC	301	8	2.59%	309
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	326	173	34.67%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	134	5	3.60%	139
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	25	2	7.41%	27
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	51	33	39.29%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	276	46	14.29%	322
DUVAL	23960061	WEKIVA SPRINGS	62	59	48.76%	121
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	140	109	43.78%	249
DUVAL	23960123	UF HEALTH NORTH	101	2	1.94%	103
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	146	50	25.51%	196
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	408	134	24.72%	542
ESCAMBIA	100093	BAPTIST HOSPITAL	305	121	28.40%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	284	129	31.23%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	71	4	5.33%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	96	3	3.03%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	1	14	93.33%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	568	381	40.15%	949
GULF	23960084	ASCENSION SACRED HEART GULF	5	16	76.19%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	20	5	20.00%	25
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	8	21	72.41%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	63	47	42.73%	110
HERNANDO	100264	OAK HILL HOSPITAL	275	75	21.43%	350
HERNANDO	110054	SPRINGBROOK HOSPITAL	67	0	0.00%	67
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	51	77	60.16%	128
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	53	27	33.75%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	50	15	23.08%	65
HIGHLANDS	100109	ADVENTHEALTH SEBRING	143	28	16.37%	171
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	12	7	36.84%	19
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	97	8	7.62%	105
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	533	180	25.25%	713
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	53	20	27.40%	73
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	869	175	16.76%	1,044
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	83	30	26.55%	113
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	79	12	13.19%	91
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	437	99	18.47%	536
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	112	7	5.88%	119
