County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	47,912	13,697	22.23%	61,609
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	878	168	16.06%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	481	35	6.78%	516
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	48	12	20.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	55	26	32.10%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	44	4	8.33%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	2	10	83.33%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	486	127	20.72%	613
BAY	100026	ASCENSION SACRED HEART BAY	106	35	24.82%	141
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	229	29	11.24%	258
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	71	16	18.39%	87
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	47	9	16.07%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	21	9	30.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	428	75	14.91%	503
BREVARD	100028	PARRISH MEDICAL CENTER	102	72	41.38%	174
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	145	50	25.64%	195
BREVARD	100177	CAPE CANAVERAL HOSPITAL	74	66	47.14%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	59	1	1.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	92	23	20.00%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	42	63	60.00%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	36	24	40.00%	60
BREVARD	23960092	VIERA HOSPITAL	79	5	5.95%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	25	19	43.18%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	585	211	26.51%	796
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	383	44	10.30%	427
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	78	41	34.45%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	216	14	6.09%	230
BROWARD	100073	HOLY CROSS HOSPITAL	236	112	32.18%	348
BROWARD	100086	BROWARD HEALTH NORTH	228	10	4.20%	238
