County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	54,110	11,913	18.04%	66,023
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	909	166	15.44%	1,075
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	469	38	7.50%	507
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	53	7	11.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	57	14	19.72%	71
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	43	5	10.42%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	3	9	75.00%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	475	138	22.51%	613
BAY	100026	ASCENSION SACRED HEART BAY	128	22	14.67%	150
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	205	37	15.29%	242
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	72	14	16.28%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	48	1	2.04%	49
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	27	3	10.00%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	397	109	21.54%	506
BREVARD	100028	PARRISH MEDICAL CENTER	119	56	32.00%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	147	57	27.94%	204
BREVARD	100177	CAPE CANAVERAL HOSPITAL	83	57	40.71%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	64	0	0.00%	64
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	109	10	8.40%	119
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	29	76	72.38%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	46	14	23.33%	60
BREVARD	23960092	VIERA HOSPITAL	69	15	17.86%	84
