County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	44,891	16,129	26.43%	61,020
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	887	159	15.20%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	463	41	8.13%	504
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	49	11	18.33%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	61	20	24.69%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	42	6	12.50%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	5	7	58.33%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	504	109	17.78%	613
BAY	100026	ASCENSION SACRED HEART BAY	122	19	13.48%	141
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	198	32	13.91%	230
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	64	22	25.58%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	41	15	26.79%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	22	8	26.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	378	118	23.79%	496
BREVARD	100028	PARRISH MEDICAL CENTER	94	84	47.19%	178
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	147	50	25.38%	197
BREVARD	100177	CAPE CANAVERAL HOSPITAL	58	82	58.57%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	57	3	5.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	74	41	35.65%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	38	67	63.81%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	38	22	36.67%	60
BREVARD	23960092	VIERA HOSPITAL	53	31	36.90%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	34	10	22.73%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	526	249	32.13%	775
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	388	22	5.37%	410
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	74	45	37.82%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	211	19	8.26%	230
BROWARD	100073	HOLY CROSS HOSPITAL	215	133	38.22%	348
BROWARD	100086	BROWARD HEALTH NORTH	213	10	4.48%	223
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	46	17	26.98%	63
BROWARD	100167	PLANTATION GENERAL HOSPITAL	130	110	45.83%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	195	96	32.99%	291
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	110	11	9.09%	121
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	156	37	19.17%	193
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	165	152	47.95%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	99	20	16.81%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	219	31	12.40%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	126	24	16.00%	150
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	10	16	61.54%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	70	40	36.36%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	308	0	0.00%	308
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	44	6	12.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	2	2.13%	94
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	153	7	4.38%	160
BROWARD	111527	MEMORIAL HOSPITAL WEST	372	34	8.37%	406
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	135	43	24.16%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	20	0	0.00%	20
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	105	24	18.60%	129
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	146	75	33.94%	221
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	165	88	34.78%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	171	33	16.18%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	80	10	11.11%	90
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	56	17	23.29%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	309	47	13.20%	356
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	100	30	23.08%	130
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	239	26	9.81%	265
COLLIER	110043	WILLOUGH AT NAPLES, THE	67	20	22.99%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	184	57	23.65%	241
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	109	0	0.00%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	74	26	26.00%	100
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	27	23	46.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	102	0	0.00%	102
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	31	24	43.64%	55
DUVAL	100001	UF HEALTH JACKSONVILLE	490	113	18.74%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	290	222	43.36%	512
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	377	107	22.11%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	86	64	42.67%	150
DUVAL	100151	MAYO CLINIC	241	61	20.20%	302
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	320	179	35.87%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	137	3	2.14%	140
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	29	2	6.45%	31
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	56	28	33.33%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	230	92	28.57%	322
DUVAL	23960061	WEKIVA SPRINGS	66	59	47.20%	125
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	104	105	50.24%	209
DUVAL	23960123	UF HEALTH NORTH	79	13	14.13%	92
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	149	49	24.75%	198
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	373	169	31.18%	542
