County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	43,684	17,181	28.23%	60,865
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	803	243	23.23%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	411	52	11.23%	463
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	54	6	10.00%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	55	27	32.93%	82
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	46	2	4.17%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	8	7	46.67%	15
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	481	132	21.53%	613
BAY	100026	ASCENSION SACRED HEART BAY	111	40	26.49%	151
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	181	50	21.65%	231
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	64	22	25.58%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	45	3	6.25%	48
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	20	10	33.33%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	393	103	20.77%	496
BREVARD	100028	PARRISH MEDICAL CENTER	105	72	40.68%	177
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	118	63	34.81%	181
BREVARD	100177	CAPE CANAVERAL HOSPITAL	78	62	44.29%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	60	0	0.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	105	10	8.70%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	39	66	62.86%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	41	19	31.67%	60
BREVARD	23960092	VIERA HOSPITAL	53	29	35.37%	82
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	29	15	34.09%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	645	208	24.38%	853
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	356	25	6.56%	381
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	69	50	42.02%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	204	26	11.30%	230
BROWARD	100073	HOLY CROSS HOSPITAL	219	129	37.07%	348
BROWARD	100086	BROWARD HEALTH NORTH	208	12	5.45%	220
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	36	28	43.75%	64
BROWARD	100167	PLANTATION GENERAL HOSPITAL	117	147	55.68%	264
BROWARD	100189	NORTHWEST MEDICAL CENTER	197	97	32.99%	294
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	107	3	2.73%	110
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	173	26	13.07%	199
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	166	151	47.63%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	106	13	10.92%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	190	60	24.00%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	102	19	15.70%	121
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	11	15	57.69%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	83	27	24.55%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	292	0	0.00%	292
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	47	3	6.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	0	0.00%	92
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	151	5	3.21%	156
BROWARD	111527	MEMORIAL HOSPITAL WEST	312	46	12.85%	358
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	104	74	41.57%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	4	6	60.00%	10
